pmc_ID,date
PMC4522718,2014-10-19
PMC4754298,2016-02-15
PMC5143338,2016-12-07
PMC5503845,2017-07-10
PMC5801106,2018-02-07
PMC6609652,2019-07-04
PMC6730974,2019-09-06
PMC4476998,2015-04-22
PMC6917332,2019-11-09
PMC4827660,2016-01-20
PMC5324081,2017-01-25
PMC4245161,2014-09-04
PMC4437617,2014-11-25
PMC5653948,2017-09-22
PMC6970277,2019-09-26
PMC5109296,2016-03-28
PMC5594445,2017-08-01
PMC6412501,2018-12-26
PMC6630528,2019-04-23
PMC6114841,2018-06-20
PMC6750904,2019-06-12
PMC6045482,2018-03-30
PMC6649084,2019-01-02
PMC6796235,2019-09-30
PMC6844112,2019-10-22
PMC6882106,2019-11-12
PMC6977284,2020-01-06
PMC6990443,2020-01-13
PMC7081255,2020-03-02
PMC7098015,2020-03-11
PMC7114131,2020-03-20
PMC4475448,2014-12-10
PMC4220977,2014-10-29
PMC3347568,2010-12-31
PMC5406662,2017-12-31
PMC5662279,2017-12-31
PMC6209400,2018-12-31
PMC3893364,2013-05-09
PMC3893401,2013-07-09
PMC3893444,2013-05-29
PMC3893591,2013-07-11
PMC3928978,2014-01-24
PMC3938307,2014-02-18
PMC4167139,2014-09-04
PMC4382927,2015-04-03
PMC4438576,2015-05-21
PMC4683939,2015-12-18
PMC4882864,2016-05-27
PMC4940830,2016-07-11
PMC4940872,2016-07-11
PMC5127041,2016-11-28
PMC5223388,2017-01-10
PMC5345195,2017-03-10
PMC5408381,2017-04-27
PMC5828078,2018-02-27
PMC5992829,2018-06-07
PMC6022714,2018-06-28
PMC6027557,2018-07-02
PMC6031111,2018-07-04
PMC6038190,2018-07-10
PMC6045867,2018-07-13
PMC6062955,2018-07-26
PMC6083589,2018-08-09
PMC6123921,2018-09-05
PMC6190663,2018-10-16
PMC6223043,2018-11-08
PMC6278135,2018-12-04
PMC6357376,2019-01-31
PMC6362601,2019-02-05
PMC6376799,2019-02-14
PMC6398239,2019-03-04
PMC6419470,2019-03-15
PMC6448261,2019-04-03
PMC6456988,2019-04-10
PMC6482573,2019-04-25
PMC6485096,2019-04-25
PMC6540455,2019-05-29
PMC6545684,2019-06-03
PMC6545689,2019-06-03
PMC6699077,2019-08-19
PMC6716845,2019-08-30
PMC6747735,2019-09-17
PMC6781370,2019-10-08
PMC6839241,2019-11-08
PMC6891963,2019-12-03
PMC6896263,2019-12-05
PMC6907342,2019-12-11
PMC6923900,2019-12-19
PMC6929293,2019-12-23
PMC6937844,2019-12-30
PMC7059712,2020-03-05
PMC7063795,2020-03-09
PMC7082933,2020-03-20
PMC7083003,2020-03-19
PMC7132881,2020-04-05
PMC7175586,2020-04-21
PMC3207130,2011-10-09
PMC3316934,2011-11-23
PMC3377898,2012-02-07
PMC3535376,2012-11-13
PMC3690182,2013-06-12
PMC3789891,2013-08-18
PMC3825532,2013-09-05
PMC4102830,2014-03-13
PMC4503875,2015-06-19
PMC4911374,2016-03-12
PMC5390007,2017-01-12
PMC5663812,2017-08-29
PMC5773658,2017-11-17
PMC5978935,2018-01-24
PMC6215775,2018-06-07
PMC6426815,2019-02-13
PMC6426829,2019-01-20
PMC6660496,2019-05-10
PMC6689289,2019-04-22
PMC6851045,2019-08-19
PMC7035241,2019-12-09
PMC7166004,2020-04-18
PMC7181443,2020-02-17
PMC7004120,2019-06-14
PMC6197177,2016-12-10
PMC6197383,2016-11-18
PMC6536031,2019-06-30
PMC6289396,2018-06-21
PMC4590727,2014-04-02
PMC5071633,2016-07-27
PMC5343116,2016-08-23
PMC5925392,2018-02-13
PMC5925414,2017-10-05
PMC6089850,2018-04-12
PMC6976993,2019-10-19
PMC7016290,2019-08-16
PMC7016292,2020-01-10
PMC7161706,2019-07-23
PMC7088779,2019-06-17
PMC1868913,2007-04-27
PMC6182802,2018-10-11
PMC6591865,2019-06-24
PMC6251978,2018-06-30
PMC6327637,2019-01-02
PMC6541872,2018-10-26
PMC6541905,2018-10-24
PMC6543453,2018-11-23
PMC5573927,2016-02-12
PMC7073813,2019-10-31
PMC5947707,2017-08-02
PMC3774698,2013-07-10
PMC4496975,2014-10-30
PMC6152497,2018-04-25
PMC6768182,2018-10-02
PMC6768216,2019-03-28
PMC6768245,2018-12-11
PMC6768254,2019-08-13
PMC6948971,2019-11-22
PMC6948977,2019-12-06
PMC7153655,2020-04-05
PMC3169933,2008-10-08
PMC3169936,2008-10-30
PMC3169945,2009-01-12
PMC3810201,2013-10-25
PMC2775695,2008-12-24
PMC3364545,2012-05-22
PMC3449101,2012-09-13
PMC3502784,2012-11-04
PMC3600350,2013-02-27
PMC3610395,2013-03-13
PMC3809938,2013-10-09
PMC4009243,2014-04-15
PMC4698518,2015-12-20
PMC4698526,2015-12-20
PMC5896349,2018-03-29
PMC5343613,2017-02-22
PMC5520659,2017-02-23
PMC2778818,2009-08-27
PMC3395205,2012-07-01
PMC5025263,2016-07-13
PMC6023549,2017-11-10
PMC3977453,2014-03-20
PMC6288580,2018-11-27
PMC6369513,2019-01-27
PMC5514016,2016-06-04
PMC6325628,2018-11-20
PMC6364500,2018-12-11
PMC6468969,2019-02-10
PMC6685478,2019-05-24
PMC6755536,2019-07-30
PMC6774027,2019-08-10
PMC6839751,2019-09-08
PMC6891902,2019-10-16
PMC6947507,2019-10-24
PMC6947697,2019-10-07
PMC7001651,2019-12-05
PMC7029647,2019-11-28
PMC7080549,2020-02-14
PMC7141005,2020-02-11
PMC7141029,2020-02-18
PMC7175249,2020-03-08
PMC3265321,2011-07-24
PMC3275998,2010-12-31
PMC4870338,2016-05-04
PMC5867598,2018-03-12
PMC6354878,2018-12-31
PMC3234074,2011-09-01
PMC3745087,2013-06-25
PMC4711660,2016-01-13
PMC2926854,2010-04-13
PMC3528377,2011-09-09
PMC3636386,2012-05-04
PMC4082572,2014-05-02
PMC2806043,2009-07-17
PMC2815746,2009-10-23
PMC2871243,2010-03-29
PMC3006025,2010-11-15
PMC3227452,2011-09-25
PMC3229965,2011-10-26
PMC3292902,2012-01-29
PMC3292906,2012-01-31
PMC3371763,2012-04-18
PMC3651523,2013-04-29
PMC3796213,2013-07-27
PMC3824410,2013-06-16
PMC4012938,2014-03-31
PMC4032794,2014-04-06
PMC4069263,2014-05-14
PMC4153621,2014-07-12
PMC4247386,2014-10-31
PMC4247388,2014-10-31
PMC4276789,2014-11-30
PMC4298366,2014-12-22
PMC4350323,2015-01-09
PMC4350324,2015-01-15
PMC4356402,2015-01-14
PMC4359691,2014-01-08
PMC4359692,2015-01-11
PMC4359693,2015-02-04
PMC4394729,2015-03-07
PMC4429088,2015-04-05
PMC4468311,2015-05-11
PMC4468313,2015-05-15
PMC4468314,2015-05-15
PMC4586103,2015-08-29
PMC4694061,2015-11-04
PMC4694064,2015-11-11
PMC4712326,2015-11-18
PMC4789581,2016-02-07
PMC4789582,2016-02-08
PMC4789590,2016-02-25
PMC4833139,2016-02-16
PMC4925824,2016-03-24
PMC4931843,2016-04-09
PMC4931845,2016-04-25
PMC4931852,2016-05-31
PMC4993344,2016-07-27
PMC5032697,2016-08-19
PMC5076446,2016-09-06
PMC5076448,2016-09-12
PMC5076455,2016-09-24
PMC5076457,2016-09-27
PMC5076460,2016-09-29
PMC5115891,2016-10-06
PMC5115905,2016-10-24
PMC5182073,2016-11-19
PMC5191876,2016-11-14
PMC5270657,2016-12-28
PMC5310654,2016-10-13
PMC5425122,2017-04-27
PMC5509456,2017-06-27
PMC5611983,2017-08-02
PMC5680560,2017-10-28
PMC5723692,2017-11-19
PMC5723694,2017-11-22
PMC5764393,2017-12-12
PMC5764397,2017-12-22
PMC5764399,2017-12-26
PMC5940125,2018-04-18
PMC5940131,2018-04-29
PMC5990381,2018-05-16
PMC5990383,2018-05-12
PMC5990389,2018-05-18
PMC5990393,2018-05-20
PMC5990398,2018-05-19
PMC6046225,2018-06-24
PMC6046234,2018-06-19
PMC6046245,2018-06-17
PMC6046250,2018-06-13
PMC6075433,2018-07-13
PMC6075434,2018-07-26
PMC6075446,2018-07-18
PMC6128423,2018-08-17
PMC6188476,2018-09-11
PMC6188480,2018-09-21
PMC6224226,2018-10-21
PMC6224230,2018-10-11
PMC6224233,2018-10-20
PMC6286819,2018-11-28
PMC6286821,2018-11-27
PMC6286825,2018-11-16
PMC6326652,2018-12-10
PMC6326654,2018-12-10
PMC6326659,2018-12-11
PMC6326667,2018-12-13
PMC6326685,2018-12-08
PMC6326687,2018-12-12
PMC6339782,2019-01-13
PMC6339791,2019-01-14
PMC6339794,2019-01-10
PMC6339804,2019-01-11
PMC6366968,2019-01-26
PMC6366972,2019-01-16
PMC6366982,2019-01-19
PMC6382432,2019-02-01
PMC6402518,2019-02-20
PMC6402525,2019-02-21
PMC6402526,2019-02-17
PMC6428103,2019-03-07
PMC6428108,2019-03-04
PMC6461164,2019-03-29
PMC6461170,2019-03-29
PMC6461172,2019-03-26
PMC6503873,2019-04-15
PMC6520004,2019-04-29
PMC6520006,2019-04-19
PMC6520014,2019-04-19
PMC6535055,2019-05-06
PMC6535056,2019-05-06
PMC6535063,2019-05-08
PMC6555456,2019-05-30
PMC6555462,2019-05-24
PMC6555468,2019-05-17
PMC6555469,2019-05-28
PMC6594799,2019-06-10
PMC6628988,2019-06-20
PMC6628992,2019-06-16
PMC6628997,2019-06-24
PMC6628998,2019-06-21
PMC6629000,2019-06-13
PMC6660044,2019-07-08
PMC6660050,2019-07-15
PMC6660058,2019-07-12
PMC6682514,2019-07-25
PMC6682515,2019-07-22
PMC6682524,2019-07-23
PMC6682530,2019-07-23
PMC6710038,2019-08-10
PMC6710041,2019-08-08
PMC6710042,2019-08-04
PMC6710056,2019-08-08
PMC6710058,2019-08-05
PMC6710065,2019-08-09
PMC6710070,2019-08-02
PMC6738407,2019-08-30
PMC6738408,2019-08-26
PMC6738420,2019-08-22
PMC6738436,2019-08-18
PMC6738443,2019-08-16
PMC6746212,2019-07-18
PMC6756871,2019-09-08
PMC6756895,2019-09-10
PMC6756896,2019-09-12
PMC6756898,2019-09-08
PMC6756910,2019-09-05
PMC6781985,2019-09-25
PMC6781986,2019-09-17
PMC6781991,2019-09-13
PMC6781998,2019-09-12
PMC6781999,2019-09-18
PMC6782008,2019-09-16
PMC6782011,2019-09-27
PMC6814584,2019-10-15
PMC6814585,2019-10-10
PMC6814590,2019-10-01
PMC6814591,2019-10-12
PMC6814605,2019-10-09
PMC6814607,2019-10-03
PMC6814619,2019-10-04
PMC6834400,2019-10-22
PMC6834404,2019-10-26
PMC6834414,2019-10-25
PMC6834418,2019-10-30
PMC6834428,2019-10-26
PMC6834430,2019-10-23
PMC6834431,2019-10-17
PMC6874426,2019-11-06
PMC6874450,2019-11-09
PMC6874455,2019-11-05
PMC6874456,2019-11-12
PMC6874459,2019-11-09
PMC6914399,2019-11-20
PMC6914407,2019-11-18
PMC6914409,2019-11-24
PMC6914410,2019-11-18
PMC6914412,2019-11-23
PMC6914414,2019-11-26
PMC6914418,2019-11-18
PMC6914426,2019-11-19
PMC6914436,2019-11-22
PMC6932873,2019-12-09
PMC6932881,2019-12-05
PMC6932887,2019-12-07
PMC6932890,2019-12-03
PMC6932902,2019-12-03
PMC6932904,2019-12-09
PMC6932906,2019-12-12
PMC6932910,2019-12-02
PMC6932912,2019-12-15
PMC6932919,2019-12-03
PMC6932921,2019-12-04
PMC6932922,2019-12-08
PMC6932928,2019-12-13
PMC6949046,2019-12-26
PMC6949050,2019-12-26
PMC6949054,2019-12-29
PMC6949064,2019-12-18
PMC6949065,2019-12-18
PMC6949066,2019-12-28
PMC6949069,2019-12-20
PMC6949071,2019-12-18
PMC6949074,2019-12-30
PMC6949076,2019-12-16
PMC6949079,2019-12-17
PMC6949080,2019-12-16
PMC6949102,2019-12-18
PMC6949106,2019-12-14
PMC6977647,2020-01-11
PMC6977659,2020-01-06
PMC6977665,2020-01-06
