"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected IF Range from: 0.000 Selected Category Scheme: WoS",,,
Rank,Full Journal Title,JCR Abbreviated Title,Journal Impact Factor
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,223.679
2,Nature Reviews Materials,NAT REV MATER,74.449
3,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,70.670
4,LANCET,LANCET,59.102
5,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,57.618
6,CHEMICAL REVIEWS,CHEM REV,54.301
7,Nature Energy,NAT ENERGY,54.000
8,NATURE REVIEWS CANCER,NAT REV CANCER,51.848
9,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,51.273
10,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,44.019
11,NATURE REVIEWS GENETICS,NAT REV GENET,43.704
12,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,43.351
13,NATURE,NATURE,43.070
14,SCIENCE,SCIENCE,41.063
15,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,40.443
16,NATURE MATERIALS,NAT MATER,38.887
17,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,38.296
18,CELL,CELL,36.216
19,LANCET ONCOLOGY,LANCET ONCOL,35.386
20,NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,34.648
21,Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,34.106
22,World Psychiatry,WORLD PSYCHIATRY,34.024
22,World Psychiatry,WORLD PSYCHIATRY,34.024
24,Nature Nanotechnology,NAT NANOTECHNOL,33.407
25,Energy & Environmental Science,ENERG ENVIRON SCI,33.250
26,NATURE REVIEWS NEUROSCIENCE,NAT REV NEUROSCI,33.162
27,Annual Review of Astronomy and Astrophysics,ANNU REV ASTRON ASTR,33.069
28,Nature Reviews Disease Primers,NAT REV DIS PRIMERS,32.274
29,NATURE BIOTECHNOLOGY,NAT BIOTECHNOL,31.864
30,Nature Photonics,NAT PHOTONICS,31.583
31,NATURE MEDICINE,NAT MED,30.641
32,Nature Reviews Chemistry,NAT REV CHEM,30.628
33,LANCET NEUROLOGY,LANCET NEUROL,28.755
34,NATURE METHODS,NAT METHODS,28.467
35,JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,28.349
36,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,28.295
37,Living Reviews in Relativity,LIVING REV RELATIV,27.778
38,BMJ-British Medical Journal,BMJ-BRIT MED J,27.604
39,LANCET INFECTIOUS DISEASES,LANCET INFECT DIS,27.516
40,Annual Review of Biochemistry,ANNU REV BIOCHEM,26.922
41,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROG ENERG COMBUST,26.467
42,Cancer Discovery,CANCER DISCOV,26.370
43,ADVANCES IN PHYSICS,ADV PHYS,26.100
44,ADVANCED MATERIALS,ADV MATER,25.809
45,NATURE GENETICS,NAT GENET,25.455
46,EUROPEAN HEART JOURNAL,EUR HEART J,24.889
47,Advanced Energy Materials,ADV ENERGY MATER,24.884
48,Nature Reviews Endocrinology,NAT REV ENDOCRINOL,24.646
49,Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,24.540
50,PROGRESS IN POLYMER SCIENCE,PROG POLYM SCI,24.505
51,Materials Today,MATER TODAY,24.372
52,PHYSIOLOGICAL REVIEWS,PHYSIOL REV,24.250
53,CANCER CELL,CANCER CELL,23.916
54,PROGRESS IN MATERIALS SCIENCE,PROG MATER SCI,23.725
55,Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,23.570
56,NATURE IMMUNOLOGY,NAT IMMUNOL,23.530
57,Nature Chemistry,NAT CHEM,23.193
58,CIRCULATION,CIRCULATION,23.054
59,Lancet Respiratory Medicine,LANCET RESP MED,22.992
60,IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,22.973
61,JAMA Oncology,JAMA ONCOL,22.416
62,Cell Metabolism,CELL METAB,22.415
63,MATERIALS SCIENCE & ENGINEERING R-REPORTS,MAT SCI ENG R,22.250
63,Psychological Science in the Public Interest,PSYCHOL SCI PUBL INT,22.250
65,Nature Climate Change,NAT CLIM CHANGE,21.722
65,Nature Climate Change,NAT CLIM CHANGE,21.722
67,ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,21.661
68,IMMUNITY,IMMUNITY,21.522
69,Cell Stem Cell,CELL STEM CELL,21.464
70,Annual Review of Immunology,ANNU REV IMMUNOL,21.429
71,Nature Reviews Neurology,NAT REV NEUROL,21.155
72,NATURE NEUROSCIENCE,NAT NEUROSCI,21.126
73,INTERNATIONAL MATERIALS REVIEWS,INT MATER REV,21.086
74,JAMA Internal Medicine,JAMA INTERN MED,20.768
75,Nature Physics,NAT PHYS,20.113
76,GASTROENTEROLOGY,GASTROENTEROLOGY,19.809
77,Annual Review of Psychology,ANNU REV PSYCHOL,19.755
77,Annual Review of Psychology,ANNU REV PSYCHOL,19.755
79,Nature Reviews Nephrology,NAT REV NEPHROL,19.684
80,Science Robotics,SCI ROBOT,19.400
81,ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,19.315
82,INTENSIVE CARE MEDICINE,INTENS CARE MED,18.967
83,JOURNAL OF HEPATOLOGY,J HEPATOL,18.946
84,Annual Review of Plant Biology,ANNU REV PLANT BIOL,18.918
85,PHARMACOLOGICAL REVIEWS,PHARMACOL REV,18.886
86,JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,J AM COLL CARDIOL,18.639
87,Nature Reviews Rheumatology,NAT REV RHEUMATOL,18.545
88,Lancet Psychiatry,LANCET PSYCHIAT,18.329
88,Lancet Psychiatry,LANCET PSYCHIAT,18.329
90,Chem,CHEM-US,18.205
91,ACTA NEUROPATHOLOGICA,ACTA NEUROPATHOL,18.174
92,GUT,GUT,17.943
93,Annual Review of Physiology,ANNU REV PHYSIOL,17.902
94,CELL RESEARCH,CELL RES,17.848
95,CLINICAL MICROBIOLOGY REVIEWS,CLIN MICROBIOL REV,17.750
96,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,17.730
97,NATURE CELL BIOLOGY,NAT CELL BIOL,17.728
98,Nature Reviews Cardiology,NAT REV CARDIOL,17.420
99,EUROPEAN UROLOGY,EUR UROL,17.298
100,Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,17.214
101,Science Translational Medicine,SCI TRANSL MED,17.200
102,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,17.194
102,BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,17.194
104,Nature Biomedical Engineering,NAT BIOMED ENG,17.135
105,TRENDS IN BIOCHEMICAL SCIENCES,TRENDS BIOCHEM SCI,16.889
106,Annual Review of Materials Research,ANNU REV MATER RES,16.816
107,REVIEWS OF GEOPHYSICS,REV GEOPHYS,16.725
108,REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,16.620
109,BLOOD,BLOOD,16.601
110,TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,16.588
111,Nano Today,NANO TODAY,16.582
112,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,AM J RESP CRIT CARE,16.494
