journal_Name,doi,repo_ID,repo_Name
BioRxiv,10.1101_000802,ERS037274,EMBL
BioRxiv,10.1101_000802,ERP001144,EMBL
BioRxiv,10.1101_001651,TCGA,TCGA
BioRxiv,10.1101_001651,TCGA,TCGA
BioRxiv,10.1101_001651,TCGA,TCGA
BioRxiv,10.1101_001651,TCGA,TCGA
BioRxiv,10.1101_001651,TCGA,TCGA
BioRxiv,10.1101_001891,ERP002541,EMBL
BioRxiv,10.1101_002105,TCGA,TCGA
BioRxiv,10.1101_002105,TCGA,TCGA
BioRxiv,10.1101_002105,TCGA,TCGA
BioRxiv,10.1101_002105,TCGA,TCGA
BioRxiv,10.1101_002105,TCGA,TCGA
BioRxiv,10.1101_002105,TCGA,TCGA
BioRxiv,10.1101_002261,GTEx,GTEx
BioRxiv,10.1101_002303,GSE54399,NCBI_GEO
BioRxiv,10.1101_003111,GSE30708,NCBI_GEO
BioRxiv,10.1101_003129,TCGA,TCGA
BioRxiv,10.1101_003129,TCGA,TCGA
BioRxiv,10.1101_003129,TCGA,TCGA
BioRxiv,10.1101_003129,TCGA,TCGA
BioRxiv,10.1101_003236,GSE53638,NCBI_GEO
BioRxiv,10.1101_003483,DRA000457,DDBJ
BioRxiv,10.1101_003483,GSE36024,NCBI_GEO
BioRxiv,10.1101_003483,DRA001262,DDBJ
BioRxiv,10.1101_003913,SRP034850,NCBI_SRA
BioRxiv,10.1101_004960,PRJNA243934,NCBI_SRA
BioRxiv,10.1101_005686,TCGA,TCGA
BioRxiv,10.1101_005686,TCGA,TCGA
BioRxiv,10.1101_005686,TCGA,TCGA
BioRxiv,10.1101_005686,TCGA,TCGA
BioRxiv,10.1101_005686,TCGA,TCGA
BioRxiv,10.1101_005686,TCGA,TCGA
BioRxiv,10.1101_005686,TCGA,TCGA
BioRxiv,10.1101_005686,TCGA,TCGA
BioRxiv,10.1101_005686,TCGA,TCGA
BioRxiv,10.1101_005686,TCGA,TCGA
BioRxiv,10.1101_005702,SRR1042008,NCBI_SRA
BioRxiv,10.1101_005702,SRR1042006,NCBI_SRA
BioRxiv,10.1101_005876,GSE21161,NCBI_GEO
BioRxiv,10.1101_005876,GSE58843,NCBI_GEO
BioRxiv,10.1101_005942,TCGA,TCGA
BioRxiv,10.1101_005942,TCGA,TCGA
BioRxiv,10.1101_005942,TCGA,TCGA
BioRxiv,10.1101_006213,TCGA,TCGA
BioRxiv,10.1101_007427,SRR1042171,NCBI_SRA
BioRxiv,10.1101_007427,SRR976171,NCBI_SRA
BioRxiv,10.1101_007427,SRR1186264,NCBI_SRA
BioRxiv,10.1101_007427,SRR1042171,NCBI_SRA
BioRxiv,10.1101_007427,SRR976171,NCBI_SRA
BioRxiv,10.1101_007427,SRR1186264,NCBI_SRA
BioRxiv,10.1101_007427,SRR1042171,NCBI_SRA
BioRxiv,10.1101_007427,SRR976171,NCBI_SRA
BioRxiv,10.1101_007427,SRR1186264,NCBI_SRA
BioRxiv,10.1101_007427,SRR1042171,NCBI_SRA
BioRxiv,10.1101_007427,SRR976171,NCBI_SRA
BioRxiv,10.1101_007427,SRR1186264,NCBI_SRA
BioRxiv,10.1101_007468,GSE25503,NCBI_GEO
