journal,pmc_ID,mouse_strain
eLife,PMC5630260,Mus musculus
G3_(Bethesda),PMC5714481,Mus musculus
Genom_Data,PMC4535894,Mus musculus,
BMC_Genomics,PMC5568174,Mus musculus
Genom_Data,PMC4536177,Mus musculus/immortalized
Genom_Data,PMC4457384,Mus musculus
Genom_Data,PMC4535844,Mus musculus
Front_Genet,PMC4429622,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6703900,Mus musculus
eLife,PMC6711745,Mus musculus
eLife,PMC6711745,Mus musculus
eLife,PMC6711745,Mus musculus
eLife,PMC6711745,Mus musculus
eLife,PMC6711745,Mus musculus
eLife,PMC6711745,Mus musculus
eLife,PMC6711745,Mus musculus
Cell_Metab,PMC6370974,Mus musculus
Cell_Metab,PMC6370974,Mus musculus
Cell_Metab,PMC6370974,Mus musculus
Cell_Metab,PMC6370974,Mus musculus
Cell_Metab,PMC6370974,Mus musculus
Cell_Metab,PMC6370974,Mus musculus
Cell_Metab,PMC6370974,Mus musculus
Cell_Metab,PMC6370974,Mus musculus
Cell_Metab,PMC6370974,Mus musculus
Genom_Data,PMC4832044,Mus musculus/liver
G3_(Bethesda),PMC3362298,Mus musculus
Cell_Biol_Toxicol,PMC4882353,Mus musculus
Cell_Biol_Toxicol,PMC4882353,Mus musculus
Cell_Biol_Toxicol,PMC4882353,Mus musculus
Cell_Biol_Toxicol,PMC4882353,Mus musculus
eLife,PMC6072441,mus musculus
eLife,PMC6072441,mus musculus
eLife,PMC6072441,mus musculus
eLife,PMC6072441,mus musculus
eLife,PMC6072441,mus musculus
eLife,PMC6072441,mus musculus
eLife,PMC6072441,mus musculus
eLife,PMC6072441,mus musculus
eLife,PMC6345567,Mus musculus)
eLife,PMC6345567,Mus musculus)
eLife,PMC6345567,Mus musculus)
Genom_Data,PMC4535525,Mus musculus/induced
Genom_Data,PMC4248573,Mus musculus;
Genom_Data,PMC4248573,Mus musculus
BMC_Genomics,PMC5923031,Mus musculus
eLife,PMC6844645,Mus musculus
eLife,PMC6844645,Mus musculus
Cell_Metab,PMC6370974,Mus musculus
Front_Cell_Infect_Microbiol,PMC5867302,Mus musculus
eLife,PMC6422636,Mus musculus)
eLife,PMC6422636,Mus musculus)
eLife,PMC6422636,Mus musculus)
eLife,PMC6422636,Mus musculus)
eLife,PMC6422636,Mus musculus)
eLife,PMC6422636,Mus musculus)
eLife,PMC6422636,Mus musculus)
eLife,PMC6422636,Mus musculus)
Genetics,PMC7054020,Mus musculus
Genome_Biol,PMC3491372,Mus musculus
Database_(Oxford),PMC6450036,Mus musculus
Genom_Data,PMC4583686,Mus musculus
Cancer_Cell,PMC6853173,Mus musculus
G3_(Bethesda),PMC5100856,Mus musculus musculus
G3_(Bethesda),PMC5100856,Mus musculus domesticus
G3_(Bethesda),PMC5100856,Mus musculus
BMC_Genomics,PMC3175228,Mus musculus
BMC_Genomics,PMC3175228,Mus musculus
BMC_Genomics,PMC3175228,Mus musculus
BMC_Genomics,PMC3175228,Mus musculus
BMC_Genomics,PMC3175228,Mus musculus
BMC_Genomics,PMC3175228,Mus musculus
BMC_Genomics,PMC3175228,Mus musculus
BMC_Genomics,PMC3175228,Mus musculus
BMC_Genomics,PMC3175228,Mus musculus
Cancer_Metab,PMC4551760,Mus musculus
Cancer_Metab,PMC4551760,Mus musculus
Dev_Cell,PMC5300051,Mus spretus
Dev_Cell,PMC5300051,Mus musculus
Genom_Data,PMC4535623,Mus musculus
Genom_Data,PMC4664777,Mus musculus
Genom_Data,PMC4664777,Mus musculus
Genom_Data,PMC4664777,Mus musculus
Genom_Data,PMC4493742,Mus musculus
eLife,PMC6398978,mus musculus
Genom_Data,PMC4778671,Mus musculus
Cell_Rep,PMC6367566,Mus musculus
G3_(Bethesda),PMC6553538,Mus musculus domesticus
G3_(Bethesda),PMC6553538,Mus musculus.
Development,PMC6803371,Mus musculus
Genom_Data,PMC4583703,Mus musculus
Genom_Data,PMC4583703,Mus musculus
Genom_Data,PMC4583664,Mus musculus/islet-specific
eLife,PMC6488297,Mus musculus
eLife,PMC6488297,Mus musculus
eLife,PMC6488297,Mus musculus
eLife,PMC6488297,Mus musculus
eLife,PMC6488297,Mus musculus
eLife,PMC6488297,Mus musculus
