journal,pmc_ID,converted_accession,species
eLife,PMC5630260,GSE89436,Mus musculus
Sci_Adv,PMC7015695,SRP144443,Mus musculus
Front_Cardiovasc_Med,PMC6901932,GSE122403,Mus musculus
Stem_Cells_Transl_Med,PMC6646807,GSE121970,Mus musculus
PLoS_One,PMC3060102,GSE24203,Mus musculus
EBioMedicine,PMC6642438,GSE124838,Mus musculus
Nat_Commun,PMC6290074,GSE107662,Mus musculus
BMC_Genomics,PMC3082245,GSE20121,Mus musculus
Int_J_Mol_Sci,PMC6600551,GSE114145,Mus musculus
PLoS_One,PMC2699037,GSE11867,Mus musculus
G3_(Bethesda),PMC5714481,SRP105358,Mus musculus
Stem_Cell_Reports,PMC4471825,GSE60987,Mus musculus
J_Exp_Med,PMC3526362,GSE38830,Mus musculus
PLoS_One,PMC3201964,GSE28917,Mus musculus
Genome_Biol,PMC4558956,SRP044940,Mus musculus
Cancer_Med,PMC7050078,GSE117358,Mus musculus
PeerJ,PMC5490462,GSE83567,Mus musculus
Cell_Rep,PMC6939994,GSE102175,Mus musculus
BMC_Endocr_Disord,PMC4016577,GSE50613,Mus musculus
Front_Cell_Infect_Microbiol,PMC5395563,GSE89070,Mus musculus
Front_Immunol,PMC5554501,GSE94843,Mus musculus
Front_Immunol,PMC5554501,GSE94821,Mus musculus
Curr_Genomics,PMC2930668,GSE14288,Mus musculus
eLife,PMC4450512,GSE61755,Mus musculus
BMC_Cell_Biol,PMC1635557,GSE4694,Mus musculus
PLoS_Pathog,PMC5929570,GSE104517,Mus musculus
Nucleic_Acids_Res,PMC4027162,SRP028299,Mus musculus
Cell_Death_Dis,PMC6646343,GSE125699,Mus musculus
Cell_Mol_Life_Sci,PMC5219004,GSE72223,Mus musculus
Nat_Commun,PMC6994533,GSE118748,Mus musculus
Mol_Autism,PMC4176301,GSE47150,Mus musculus
PLoS_One,PMC3020951,GSE23014,Mus musculus
Mol_Ther,PMC4435485,GSE52636,Mus musculus
EBioMedicine,PMC6642288,GSE124725,Mus musculus
PLoS_One,PMC4117590,GSE54586,Mus musculus
Nat_Commun,PMC6659703,GSE116685,Mus musculus
Nat_Commun,PMC5585406,GSE96545,Mus musculus
Genom_Data,PMC4535894,GSE62302,Mus musculus
EMBO_Mol_Med,PMC3068019,GSE21237,Mus musculus
Eur_J_Immunol,PMC4298793,GSE44848,Mus musculus
Front_Genet,PMC6103536,GSE99159,Mus musculus
Dis_Model_Mech,PMC6550049,GSE121780,Mus musculus
BMC_Genomics,PMC5568174,GSE95424,Mus musculus
Biol_Open,PMC7044460,GSE118641,Mus musculus
Commun_Biol,PMC6952419,SRP215203,Mus musculus
Mol_Cell_Proteomics,PMC5054343,SRP033468,Mus musculus
Sci_Rep,PMC6120941,SRP108899,Mus musculus
Sci_Rep,PMC5561267,GSE95316,Mus musculus
Microbiome,PMC5588750,SRP102006,Mus musculus
Nat_Commun,PMC6946684,GSE134328,Mus musculus
PLoS_One,PMC3121735,GSE22182,Mus musculus
G3_(Bethesda),PMC4390565,GSE56987,Mus musculus
Nat_Commun,PMC5520053,GSE92590,Mus musculus
Nat_Med,PMC4935930,GSE75233,Mus musculus
Nat_Commun,PMC6197193,GSE106455,Mus musculus
PLoS_Pathog,PMC4697774,GSE67136,Mus musculus
BMC_Genomics,PMC4636806,GSE68074,Mus musculus
Oncotarget,PMC3712573,GSE40609,Mus musculus
Nat_Commun,PMC6946684,GSE134412,Mus musculus
PLoS_One,PMC3445606,GSE36878,Mus musculus
PLoS_One,PMC3139584,GSE26911,Mus musculus
eLife,PMC5053804,GSE79551,Mus musculus
Nat_Cell_Biol,PMC3507454,GSE34243,Mus musculus
Environ_Health_Perspect,PMC1332661,GSE2333,Mus musculus
PLoS_One,PMC3779241,GSE42285,Mus musculus
Front_Immunol,PMC6700230,GSE126843,Mus musculus
BMC_Genomics,PMC4546048,GSE61038,Mus musculus
BMC_Genomics,PMC4546048,GSE61037,Mus musculus
Am_J_Physiol_Endocrinol_Metab,PMC3725544,GSE42356,Mus musculus
PLoS_One,PMC3087798,GSE25278,Mus musculus
Oncotarget,PMC6366817,GSE118039,Mus musculus
Genom_Data,PMC4536177,GSE45859,Mus musculus
Front_Immunol,PMC5468442,GSE92869,Mus musculus
EMBO_Mol_Med,PMC4772952,GSE61592,Mus musculus
eLife,PMC5815852,GSE102768,Mus musculus
J_Am_Heart_Assoc,PMC5210409,GSE83979,Mus musculus
BMC_Dev_Biol,PMC2656490,GSE8881,Mus musculus
Sci_Rep,PMC6586812,GSE112396,Mus musculus
PLoS_One,PMC6490900,GSE122397,Mus musculus
Cell_Mol_Gastroenterol_Hepatol,PMC5582719,GSE93643,Mus musculus
PLoS_One,PMC3782466,GSE45837,Mus musculus
PLoS_One,PMC3991711,GSE51927,Mus musculus
Front_Endocrinol_(Lausanne),PMC7028708,SRP219248,Mus musculus
Mol_Cancer,PMC7045401,GSE134067,Mus musculus
PLoS_One,PMC4607441,GSE68315,Mus musculus
Oncotarget,PMC5302905,GSE77773,Mus musculus
Nucleic_Acids_Res,PMC6009677,SRP118707,Mus musculus
Mol_Vis,PMC3233386,GSE29752,Mus musculus
PLoS_One,PMC3325921,GSE33248,Mus musculus
Life_Sci_Alliance,PMC6238540,ERP017147,Mus musculus
PLoS_One,PMC3119682,GSE26364,Mus musculus
Genom_Data,PMC4457384,GSE56520,Mus musculus
FASEB_J,PMC6902666,GSE104170,Mus musculus
BMC_Genomics,PMC2805698,GSE16902,Mus musculus
Part_Fibre_Toxicol,PMC4200214,GSE51417,Mus musculus
Genome_Biol,PMC4862082,GSE74833,Mus musculus
Genome_Biol,PMC3580494,GSE38333,Mus musculus
PLoS_One,PMC2742898,GSE15585,Mus musculus
BMC_Genomics,PMC4469462,GSE26251,Mus musculus
PLoS_One,PMC3166052,GSE27964,Mus musculus
Transcription,PMC3646055,GSE30488,Mus musculus
Proc_Natl_Acad_Sci_U_S_A,PMC5676899,GSE98402,Mus musculus
J_Exp_Med,PMC3092346,GSE25502,Mus musculus
PLoS_One,PMC4121322,GSE55068,Mus musculus
Genome_Biol,PMC6844030,SRP199599,Mus musculus
PLoS_One,PMC3544874,GSE38449,Mus musculus
Immunol_Rev,PMC4231239,GSE56682,Mus musculus
PLoS_Comput_Biol,PMC4658017,GSE69761,Mus musculus
PLoS_One,PMC2583050,GSE10902,Mus musculus
Cell_Rep,PMC6715152,GSE111568,Mus musculus
Arthritis_Res_Ther,PMC3046537,GSE22971,Mus musculus
Sci_Rep,PMC4746671,GSE72478,Mus musculus
Cell_Mol_Gastroenterol_Hepatol,PMC6881665,GSE92991,Mus musculus
Genom_Data,PMC4535844,GSE39457,Mus musculus
PLoS_Genet,PMC6057650,ERP024425,Mus musculus
eLife,PMC5142813,SRP076056,Mus musculus
Nat_Commun,PMC6715734,GSE124991,Mus musculus
BMC_Genomics,PMC3655071,SRP012040,Mus musculus
PLoS_Genet,PMC5352137,GSE87051,Mus musculus
Immunol_Cell_Biol,PMC5454315,GSE74129,Mus musculus
PLoS_Pathog,PMC5574617,GSE95731,Mus musculus
Genome_Biol,PMC4862082,GSE75413,Mus musculus
Front_Genet,PMC4429622,GSE62669,Mus musculus
EBioMedicine,PMC6945195,GSE131454,Mus musculus
PLoS_Comput_Biol,PMC6105007,GSE109999,Mus musculus
PLoS_One,PMC4928805,GSE70753,Mus musculus
F1000Res,PMC4706055,SRP035922,Mus musculus
Arch_Toxicol,PMC5818586,GSE68111,Mus musculus
Nat_Commun,PMC4467376,GSE58629,Mus musculus
PLoS_One,PMC3083422,GSE25343,Mus musculus
Dis_Model_Mech,PMC5818081,GSE101579,Mus musculus
Nat_Commun,PMC6105717,GSE84324,Mus musculus
Nat_Commun,PMC6715734,SRP189007,Mus musculus
Cell_Rep,PMC6878787,GSE108997,Mus musculus
PLoS_One,PMC3055874,GSE24330,Mus musculus
PLoS_One,PMC3323564,GSE21677,Mus musculus
J_Biol_Chem,PMC3868760,GSE46889,Mus musculus
PLoS_One,PMC3907398,GSE50068,Mus musculus
PLoS_One,PMC3323564,GSE21707,Mus musculus
PLoS_Genet,PMC3708807,GSE43908,Mus musculus
Theranostics,PMC6929615,GSE134693,Mus musculus
eLife,PMC6703900,GSE124577,Mus musculus
eLife,PMC6711745,GSE123126,Mus musculus
Nat_Commun,PMC6726629,SRP189755,Mus musculus
eLife,PMC4728133,GSE68459,Mus musculus
eLife,PMC4728133,GSE68368,Mus musculus
BMC_Microbiol,PMC3563475,SRP014745,Mus musculus
Epigenetics_Chromatin,PMC6781367,SRP186720,Mus musculus
PLoS_One,PMC3885444,GSE40566,Mus musculus
Sci_Rep,PMC5904159,GSE93534,Mus musculus
PLoS_Genet,PMC6553695,GSE124420,Mus musculus
PLoS_One,PMC2576441,GSE11596,Mus musculus
PLoS_One,PMC5602546,GSE97634,Mus musculus
PLoS_One,PMC5602546,GSE97636,Mus musculus
Pediatr_Res,PMC7033041,GSE130347,Mus musculus
Data_Brief,PMC6612617,DRP004738,Mus musculus
BMC_Bioinformatics,PMC2646237,GSE7759,Mus musculus
Am_J_Hum_Genet,PMC5420347,GSE74735,Mus musculus
Nat_Immunol,PMC6642690,GSE124399,Mus musculus
Nat_Commun,PMC6180030,GSE113999,Mus musculus
BMC_Syst_Biol,PMC2225983,GSE8191,Mus musculus
PLoS_One,PMC4569352,SRP056010,Mus musculus
Pediatr_Res,PMC7033041,GSE130400,Mus musculus
PLoS_One,PMC4996532,GSE79403,Mus musculus
BMC_Syst_Biol,PMC3750405,GSE44445,Mus musculus
BMC_Syst_Biol,PMC3750405,GSE44441,Mus musculus
Nat_Commun,PMC5458121,GSE92381,Mus musculus
Nucleic_Acids_Res,PMC6649716,GSE124306,Mus musculus
Sci_Data,PMC4986542,GSE79131,Mus musculus
Cell_Metab,PMC6370974,GSE114402,Mus musculus
Arthritis_Res_Ther,PMC2688208,GSE12024,Mus musculus
Cell_Metab,PMC6370974,GSE114610,Mus musculus
PLoS_One,PMC5137903,GSE83357,Mus musculus
Cell_Metab,PMC6370974,GSE114613,Mus musculus
Cell_Metab,PMC6370974,GSE114612,Mus musculus
Cell_Metab,PMC6370974,GSE114611,Mus musculus
