pmc,repoIDcount
PMC4751544,9
PMC2867830,1
PMC4199626,2
PMC3013661,1
PMC3355683,1
PMC5397604,1
PMC4966634,2
PMC5724284,6
PMC6245794,8
PMC4396786,12
PMC3594755,1
PMC4726364,3
PMC4542306,3
PMC5004121,23
PMC4850677,1
PMC5914023,13
PMC3299707,1
PMC3400611,1
PMC3857836,1
PMC5633919,1
PMC4117646,2
PMC4672152,5
PMC5004121,23
PMC5429541,5
PMC5142417,8
PMC5753283,88
PMC5004121,23
PMC5109483,2
PMC4937301,2
PMC4569432,12
PMC5549704,8
PMC4569432,12
PMC5549704,8
PMC6245794,8
PMC4987108,2
PMC5934623,2
PMC6245794,8
PMC4218951,1
PMC6135607,6
PMC4602055,2
PMC4704492,5
PMC4682858,4
PMC4940433,9
PMC5860264,5
PMC5574367,9
PMC5574368,8
PMC5663209,3
PMC6344081,2
PMC6566617,2
PMC5911502,2
PMC4154615,2
PMC4154615,2
PMC5574367,9
PMC5574368,8
PMC6566617,2
PMC5574367,9
PMC5574368,8
PMC5574367,9
PMC5574368,8
PMC4829419,3
PMC6167770,5
PMC5574367,9
PMC5429521,1
PMC5753283,88
PMC5753283,88
PMC4562633,1
PMC6146659,5
PMC6199470,1
PMC5399799,3
PMC5914023,13
PMC5116553,1
PMC4560375,1
PMC5989403,6
PMC5364888,3
PMC5726485,5
PMC5706017,4
PMC4450998,3
PMC5726485,5
PMC5306386,3
PMC5306386,3
PMC5114839,3
PMC4940433,9
PMC5574367,9
PMC5574368,8
PMC6563668,11
PMC5806886,1
PMC5766633,5
PMC5336252,1
PMC6045881,5
PMC4933688,1
PMC5706017,4
PMC5904727,6
PMC5291245,2
PMC5753283,88
PMC6585154,3
PMC5753283,88
PMC4682858,4
PMC4940433,9
PMC5860264,5
PMC5574367,9
PMC5574368,8
PMC5066174,3
PMC4682858,4
PMC4940433,9
PMC5860264,5
PMC5574367,9
PMC5574368,8
PMC5663209,3
PMC4682858,4
PMC4940433,9
PMC5860264,5
PMC5574367,9
PMC5574368,8
PMC6585154,3
PMC5753283,88
PMC5549704,8
PMC5549704,8
PMC6339895,16
PMC5753283,88
PMC4744910,2
PMC6425862,2
PMC4744910,2
PMC5830881,2
PMC5830881,2
PMC5753283,88
PMC6062655,2
PMC5753283,88
PMC5589596,2
PMC6213411,2
PMC5839406,4
PMC6213411,2
PMC5839406,4
PMC5470834,2
PMC5753283,88
PMC5758520,2
PMC5430618,12
PMC5727781,3
PMC5727781,3
PMC6332817,1
PMC6505081,11
PMC6448236,1
PMC4825995,1
PMC4895433,1
PMC5611737,1
PMC5611740,1
