,journal,pmc_ID,accession,converted_accession
0,Alzheimers_Res_Ther,PMC3707052,GSM1,GSE506
1,Alzheimers_Res_Ther,PMC3706879,GSE45534,GSE45534
5,Alzheimers_Res_Ther,PMC4255636,GSE5281,GSE5281
6,Alzheimers_Res_Ther,PMC4731966,GSE67036,GSE67036
7,Alzheimers_Res_Ther,PMC4731966,GSE1297,GSE1297
8,Alzheimers_Res_Ther,PMC4731966,GSE48350,GSE48350
9,Alzheimers_Res_Ther,PMC4731966,GSE36980,GSE36980
10,Alzheimers_Res_Ther,PMC4731966,GSE12679,GSE12679
11,Alzheimers_Res_Ther,PMC4731966,GSE12293,GSE12293
17,Alzheimers_Res_Ther,PMC4731966,GSE46871,GSE46871
41,Alzheimers_Res_Ther,PMC5513091,GSE93678,GSE93678
42,Alzheimers_Res_Ther,PMC5819208,GSE44772,GSE44772
43,Alzheimers_Res_Ther,PMC5819208,GSE44771,GSE44771
45,Alzheimers_Res_Ther,PMC6015462,GSE60862,GSE60862
46,Alzheimers_Res_Ther,PMC6015462,GSE5281,GSE5281
47,Alzheimers_Res_Ther,PMC6015462,GSE29378,GSE29378
48,Alzheimers_Res_Ther,PMC6015462,GSE36980,GSE36980
49,Alzheimers_Res_Ther,PMC6015462,GSE48350,GSE48350
66,Alzheimers_Res_Ther,PMC6015462,GSE9566,GSE9566
77,Biol_Direct,PMC2928186,GSE2361,GSE2361
78,Biol_Direct,PMC2928186,GSE952,GSE952
81,Biol_Direct,PMC1500996,GPL4,GSE14;GSE15309
82,Biol_Direct,PMC1634740,GDS422,NaN
83,Biol_Direct,PMC1634740,GDS596,NaN
84,Biol_Direct,PMC1634740,GDS181,GSE96
85,Biol_Direct,PMC1634740,GSM763,NaN
86,Biol_Direct,PMC1634740,GSM676,NaN
87,Biol_Direct,PMC1634740,GSM761,NaN
88,Biol_Direct,PMC1634740,GSM695,NaN
89,Biol_Direct,PMC1634740,GSM786,NaN
90,Biol_Direct,PMC1634740,GSM1499,NaN
91,Biol_Direct,PMC1634740,GSM708,NaN
92,Biol_Direct,PMC1634740,GSM785,NaN
93,Biol_Direct,PMC1634740,GSM762,NaN
94,Biol_Direct,PMC1634740,GSM719,NaN
95,Biol_Direct,PMC1634740,GSM721,NaN
96,Biol_Direct,PMC1634740,GSM716,NaN
97,Biol_Direct,PMC1634740,GSM14750,NaN
98,Biol_Direct,PMC1634740,GSM14749,NaN
99,Biol_Direct,PMC1634740,GSM764,NaN
100,Biol_Direct,PMC1634740,GSM685,NaN
101,Biol_Direct,PMC1634740,GSM739,NaN
102,Biol_Direct,PMC1634740,GSM14752,NaN
103,Biol_Direct,PMC1634740,GSM2386,NaN
104,Biol_Direct,PMC1634740,GSM713,NaN
129,Biol_Direct,PMC1634740,GPL4,GSE14;GSE15309
130,Biol_Direct,PMC1634740,GPL6,GSE694
132,Biol_Direct,PMC1634740,GDS594,NaN
136,Biol_Direct,PMC2453111,GSE5095,GSE5095
137,Biol_Direct,PMC2453111,GSE6969,GSE6969
138,Biol_Direct,PMC2794262,GPL2025,GSE49020
140,Biol_Direct,PMC5168849,GSE47792,GSE47792
141,Biol_Direct,PMC3201895,GSM487450,GSE19553
142,Biol_Direct,PMC3201895,GSM487448,GSE19553
143,Biol_Direct,PMC3201895,GSM487453,GSE19553
151,Biol_Direct,PMC2211459,GSE3798,GSE3798
152,Biol_Direct,PMC3120802,GSE243371,NaN
153,Biol_Direct,PMC2762993,GSE5086,GSE5086
154,Biol_Direct,PMC2883972,GSE12974,GSE12974
156,Biol_Direct,PMC5041498,GSE43580,GSE43580
157,Biol_Direct,PMC5041498,GSE10245,GSE10245
