pmc_ID,accession,real_introducer
PMC4218774,GSE60983,
PMC5215477,GSE87262,
PMC4837475,GSE77077,
PMC4235648,GSE52094,
PMC3091755,GSE20617,
PMC3091755,GSM517918,
PMC3091755,GSM517917,
PMC6530320,GSE128949,
PMC2778665,GSE17027,
PMC4810360,GSE71767,
PMC4573499,GSE67082,
PMC4548949,GSE67671,
PMC3017779,GSE19126,
PMC4160998,GSE58447,
PMC3328364,GSE32358,
PMC3328364,GSE32574,
PMC3328364,GSE32359,
PMC5219004,GSE60699,
PMC5219004,GSE72223,
PMC2646746,GSM339946,
PMC2646746,GSM339907,
PMC2646746,GSM339911,
PMC2646746,GSM339819,
PMC2646746,GSM339945,
PMC2646746,GSM339944,
PMC2646746,GSM339912,
PMC2646746,GSM339951,
PMC2646746,GSM339949,
PMC2646746,GSM339947,
PMC2646746,GSM339910,
PMC2646746,GSM339909,
PMC2646746,GSM339913,
PMC2646746,GSM339914,
PMC2646746,GSM339915,
PMC2646746,GSM339916,
PMC2646746,GSM339917,
PMC2646746,GSM339918,
PMC2646746,GSM339955,
PMC2646746,GSM339953,
PMC2646746,GSM339954,
PMC2646746,GSM339943,
PMC2646746,GSM339950,
PMC2646746,GSM339808,
PMC4555015,GSE69450,
PMC5035082,GSE83959,
PMC4760308,GSE76915,
PMC4224695,GSE51603,
PMC5037628,GSE79526,
PMC3507169,GSE37198,
PMC5643307,GSE94603,
PMC4593695,GSE66780,
PMC4593695,GSE65145,
PMC5015934,GSE80300,
PMC4914109,GSE57903,
PMC4914109,GSE73142,
PMC5241227,GSE62980,
PMC5241227,GSE62975,
PMC5241227,GSE62976,
PMC4982125,GSE74871,
PMC4856085,GSE78083,
PMC6541438,GSE123173,
PMC4466019,GSE64504,
PMC4961827,GSE54253,
PMC4769552,GSE74379,
PMC3352295,GSE35143,
PMC4354993,GSE57872,
PMC4354993,GSE64253,
PMC4354993,GSE64381,
PMC4354993,GSE46226,
PMC2099445,GSE7018,
PMC4992165,GSE65392,
PMC1888727,GSE6050,
PMC1888727,GSE5991,
PMC1888727,GSE6051,
PMC1888727,GPL4384,
PMC1888727,GSE6052,
PMC4801004,GSE56671,
PMC4801004,GSE56672,
PMC6796953,GSE128984,
PMC5788436,GSE103309,
PMC6582357,GSE126286,
PMC4432876,GSE68436,
PMC4432876,GSE68438,
PMC6448858,GSE123399,
PMC4214712,GSE53411,
PMC5503824,GSE87709,
PMC4594679,GSE62436,
PMC2894749,GSE21423,
PMC3887047,GSE51958,
PMC7040466,GSE136865,
PMC7040466,GSE137136,
PMC7040466,GSE133135,
PMC7040466,GSE123404,
PMC5509537,GSE78514,
