pmc_ID,accession,real_introducer
PMC3749366,GSE46195,
PMC3778544,GSE48931,
PMC3778544,GSE48924,
PMC3778544,GSE48925,
PMC3778544,GSE48927,
PMC3778544,GSE48928,
PMC3778544,GSE48930,
PMC6540453,GSE122749,
PMC5987924,GSE102665,
PMC3949351,GSE52831,
PMC6118369,GSE93338,
PMC6514269,GSE113606,
PMC3053325,GSE22618,
PMC3053325,GSE22620,
PMC4931692,GSE81635,
PMC4551469,GSE70227,
PMC5904108,GSE111544,
PMC4387708,GSE62306,
PMC4046671,GSE46076,
PMC6392498,GSE115928,
PMC5678422,GSE89698,
PMC5069748,GSE67038,
PMC5069748,GSE67006,
PMC5623836,GSE99216,
PMC5928044,GSE98743,
PMC3907382,GSE52504,
PMC6201315,GSE102027,
PMC3875557,GSE51165,
PMC3875557,GSE51164,
PMC3875557,GSE51784,
PMC3185036,GSE30937,
PMC5484582,GSE76799,
PMC3865479,GSE51932,
PMC6889278,GSE126714,
PMC6102898,GSE116881,
PMC6307349,GSE122472,
PMC5201045,GSE79323,
PMC5201045,GSE79322,
PMC5201045,GSE79320,
PMC5201045,GSE79321,
PMC5487420,GSE97544,
PMC5837101,GSE107524,
PMC4350989,GSE63982,
PMC4105537,GSE55435,
PMC4798752,GSE73411,
PMC6147608,GSE113574,
PMC3926002,GSE53960,
PMC6423033,GSE107712,
PMC6423033,GSE108202,
PMC4118672,GSE52458,
PMC4395285,GSE60425,
PMC6731019,GSE111540,
PMC5240663,GSE81226,
PMC6462215,GSE115417,
PMC4075450,GSE51772,
PMC4075450,GSE51770,
PMC5634787,GSE87293,
PMC5634787,GSE90092,
PMC6698049,GSE129423,
PMC5293807,GSE87550,
PMC6938829,GSE133888,
PMC6938829,GPL26891,
PMC4358698,GSE65993,
PMC6060153,GSE116193,
PMC4510604,GSE32198,
PMC6420108,GSE122846,
