PMC_ID,ACCESSION,REAL_INTRODUCER
PMC3738112,GSE47125,PMC3738112
PMC4011561,GSE19114,PMC4011561
PMC4011561,GSE19113,PMC4011561
PMC6547578,GSE118125,PMC6547578
PMC5360398,GSE94887,PMC5360398
PMC6117096,GSE113070,PMC6117096
PMC6437102,GSE127751,PMC6437102
PMC6297994,GSE116617,PMC6297994
PMC6297994,GSE116616,PMC6297994
PMC4700149,GSE74044,PMC4700149
PMC3333778,GSE26302,PMC3333778
PMC3333778,GSE29172,PMC3333778
PMC6291627,GSE114706,PMC6291627
PMC5285474,GSE71506,PMC5285474
PMC6699077,GSE134007,PMC6699077
PMC6699077,GSE134005,PMC6699077
PMC6699077,GSE134006,PMC6699077
PMC3945204,GSE50588,PMC3945204
PMC3526280,GSE40133,PMC3526280
PMC6453981,GSE126617,PMC6453981
PMC5761873,GSE83794,PMC5761873
PMC5177601,GSE81714,PMC5177601
PMC1195719,GSM64526,PMC1195719
PMC1195719,GSM64587,PMC1195719
PMC1195719,GSM64591,PMC1195719
PMC1195719,GSM64592,PMC1195719
PMC1195719,GSE2954,PMC1195719
PMC4466459,GSE61700,PMC4466459
PMC6125479,GSE113066,NaN
PMC6051669,GSE105104,PMC6103260
PMC6294311,GSE120427,PMC6294311
PMC6547433,GSE125038,PMC6547433
PMC4577213,GSE66640,PMC4577213
PMC4454753,GSE67547,PMC4454753
PMC6973274,GSE124847,PMC6973274
PMC5091767,GSE82046,NaN
PMC3839660,GSE49435,PMC3839660
PMC6292071,GSE118150,PMC6560770
PMC3174986,GSE24791,NaN
PMC6317371,GSE115258,PMC6317371
PMC4945323,GSE46548,NaN
PMC6546853,GSE129196,PMC6546853
PMC5427069,GSE98103,PMC5427069
PMC5634580,GSE86392,PMC5634580
PMC3491423,GSE31353,PMC3491423
PMC3491423,GSE31229,PMC3491423
PMC3397513,GSE30344,PMC3508711
PMC3397513,GSE30343,PMC3508711
PMC4684695,GSE67862,PMC4684695
PMC4684695,GSE67587,PMC4684695
PMC4684695,GSE67861,PMC4684695
PMC5529408,GSE94793,PMC5529408
PMC4371841,GSE58293,PMC4371841
PMC4371841,GSE58333,PMC4371841
PMC4371841,GSE58289,PMC4371841
PMC4371841,GSE58288,PMC4371841
PMC5397191,GSE81370,PMC5397191
PMC6400416,GSE119294,PMC6400416
PMC6400416,GSE119293,PMC6400416
PMC6400416,GSE119292,PMC6400416
PMC6414603,GSE125316,PMC6414603
PMC5727025,GSE99167,PMC5727025
PMC3112146,GSE26757,PMC3112146
PMC6386581,GSE110704,PMC6386581
PMC5731861,GSE99422,PMC5731861
PMC5731861,GSE99423,PMC5731861
PMC3983652,GSE51505,PMC3983652
PMC4131902,GSE58951,PMC4131902
PMC3990632,GSE55764,PMC3990632
