pmc_ID,accession,real_introducer
PMC5486007,GSE82208,NaN
PMC5807049,GSE89072,PMC5807049
PMC6529628,GSE121398,PMC6529628
PMC4277859,GSE56983,PMC4277859
PMC5589904,GSE101434,PMC5589904
PMC2405806,GSE5292,PMC2405806
PMC3087761,GSE24849,PMC3087761
PMC4477606,GSE42572,PMC4477606
PMC3728622,GSE48282,PMC3728622
PMC5385376,GSE87869,PMC5385376
PMC3769143,GSE45610,PMC3769143
PMC6591401,GSE120748,PMC6591401
PMC4358660,GSE63721,PMC4358660
PMC5846732,GSE101398,PMC5846732
PMC5786302,GSE109137,PMC5786302
PMC2547109,GSE10425,PMC2547109
PMC6761125,GSE112443,PMC6761125
PMC6761125,GSE112440,PMC6761125
PMC6761125,GSE112441,PMC6761125
PMC6761125,GSE113059,PMC6761125
PMC6761125,GSE131772,PMC6761125
PMC6761125,GSE113078,PMC6761125
PMC6761125,GSE113076,NaN
PMC6761125,GSE112442,PMC6761125
PMC3113313,GSE25734,PMC3113313
PMC3113313,GSE27084,PMC3113313
PMC6462215,GSE115417,PMC6462215
PMC6097839,GSE104506,PMC6097839
PMC5492891,GSE87862,NaN
PMC5492891,GSE84523,NaN
PMC5042512,GSE77198,PMC5042512
PMC5210409,GSE83659,NaN
PMC5210409,GSE83979,PMC5210409
PMC6323897,GSE118030,PMC6323897
PMC3523424,GSE29733,NaN
PMC509407,GSE863,PMC509407
PMC509407,GSM13434,PMC509407
PMC509407,GSM13433,PMC509407
PMC509407,GSM13432,PMC509407
PMC509407,GSM13430,PMC509407
PMC509407,GSM13428,PMC509407
PMC509407,GSE862,PMC509407
PMC509407,GSM13429,PMC509407
PMC509407,GSM13426,PMC509407
PMC509407,GSM13427,PMC509407
PMC509407,GSM13421,PMC509407
PMC509407,GSM13420,PMC509407
PMC509407,GSM13424,PMC509407
PMC509407,GSM13423,PMC509407
PMC6599970,GSE132954,NaN
PMC3799453,GSE46850,PMC3799453
PMC5435338,GSE90028,PMC5435338
PMC6785633,GSE128675,PMC6785633
PMC4829315,GSE71284,PMC4829315
PMC5823660,GSE85101,PMC5823660
PMC6156198,GSE119622,PMC6156198
PMC4759767,GSE76126,NaN
PMC4759767,GSE76127,PMC4759767
PMC5609954,GSE93175,PMC5609954
PMC4848580,GSE73090,PMC4848580
PMC7023829,GSE135948,PMC7023829
PMC6453566,GSE114077,PMC6453566
PMC3564008,GSE32504,PMC3564008
PMC3546934,GSE40861,PMC3546934
PMC5070013,GSE84307,PMC5070013
PMC2800220,GSE16731,PMC2800220
PMC1924859,GSE5401,PMC1924859
PMC6125436,GSE40622,PMC5856614
PMC6125436,GSE112757,PMC6125436
PMC6125436,GSE112756,PMC6125436
PMC6112358,GSE111406,PMC6112358
PMC3428657,GSE37367,PMC3428657
PMC3428657,GSE37360,PMC3428657
PMC3428657,GSE37368,PMC3428657
PMC4728775,GSE76433,PMC4728775
PMC3796489,GSE47982,PMC3796489
PMC3796489,GSE50981,PMC3796489
PMC3784563,GSE42600,PMC3784563
PMC3784563,GSE40536,PMC3784563
PMC5293154,GSE83546,PMC5293154
