pmc_ID,accession,real_introducer
PMC6731298,GSE122735,
PMC6731298,GSE122826,
PMC6731298,GSE122958,
PMC1766935,GSE4490,
PMC3732916,GSE40574,
PMC6848192,GSE126160,
PMC5871846,GSE99467,
PMC5603534,GSE62524,
PMC3500050,GSE34479,
PMC3086885,GSE17398,
PMC3098064,GSE16894,
PMC3098064,GSE16895,
PMC3098064,GSE16896,
PMC2395256,GSM177081,
PMC2395256,GSM177078,
PMC6946107,GSE116434,
PMC5882046,GSE99225,
PMC6757391,GSE124010,
PMC7140892,GSE118294,
PMC6106878,GSE95414,
PMC7032732,GSE129195,
PMC3870304,GSE32153,
PMC3870304,GSE32168,
PMC3870304,GSE32162,
PMC6964531,GSE128825,
PMC3617101,GSE34608,
PMC3617101,GSE36411,
PMC3617101,GSE15605,
PMC3617101,GSE38666,
PMC1896013,GSE5318,
PMC4699637,GSE67345,
PMC6829136,GSE121150,
PMC3418580,GSE25935,
PMC3418580,GSE26105,
PMC4941408,GSE65800,
PMC5224499,GSE72816,
PMC4856749,GSE74981,
PMC2667191,GSE15334,
PMC4414192,GSE62821,
PMC5477500,GSE84555,
PMC3312346,GSE31508,
PMC3312346,GSE31499,
PMC3312346,GSE31501,
PMC3312346,GSE31505,
PMC3312346,GSE31469,
PMC3312346,GSE31514,
PMC3312346,GSE31516,
PMC3312346,GSE31518,
PMC3312346,GSE31474,
PMC4859332,GSE74276,
PMC4859332,GSE74316,
PMC4231836,GSE62287,
PMC3293807,GSE34071,
PMC4915096,GSE83480,
PMC4585843,GSE50658,
PMC4805247,GSE79118,
PMC6158338,GSE115143,
PMC3826595,GSE45267,
PMC3826595,GSE45436,
PMC3826595,GSE45435,
PMC3826595,GSE45434,
PMC3441221,GSE35823,
PMC4839732,GSE57801,
PMC5842028,GSE109228,
PMC2848842,GSM511165,
PMC2848842,GSM511180,
PMC2848842,GSM511164,
PMC2848842,GSM511181,
PMC2848842,GSM511183,
PMC2848842,GSM511166,
PMC2848842,GSM511168,
PMC2848842,GSM511167,
PMC2848842,GSM511178,
PMC2848842,GSM511184,
PMC2848842,GSM511169,
PMC2848842,GSM511170,
PMC2848842,GSM511179,
PMC2848842,GSM511176,
PMC2848842,GSM511177,
PMC2848842,GSM511174,
PMC2848842,GSM511171,
PMC2848842,GSM511172,
PMC2848842,GSM511173,
PMC2848842,GSM511182,
PMC2848842,GSM511175,
PMC2848842,GSE20406,
PMC5312399,GSE72866,
PMC5312399,GSE73397,
PMC6168426,GSE110457,
PMC2667682,GSE10251,
PMC4902173,GSE77599,
PMC4694108,GSE75760,
PMC4560928,GSE71139,
PMC3632537,GSE44146,
