PMC_ID,ACCESSION,REAL_INTRODUCER
PMC3509318,GSE26193,NaN
PMC4598167,GSE56315,PMC4397280
PMC6872679,GSE130015,NaN
PMC4741573,GSE53963,PMC4271115
PMC5859443,GSE97247,PMC5859443
PMC1681515,GSE3821,PMC1681515
PMC3171500,GSE23347,PMC2893048
PMC5700188,GSE98526,NaN
PMC6527265,GSE115940,PMC6527265
PMC6367845,GSE88718,NaN
PMC5788649,GSE97001,PMC5788649
PMC5788649,GSE97002,PMC5788649
PMC5788649,GSE97028,PMC5788649
PMC5788649,GSE97030,PMC5788649
PMC5788649,GSE97031,PMC5788649
PMC5788649,GSE97427,PMC5788649
PMC3418580,GSE25935,PMC3102751
PMC3418580,GSE26105,PMC3102751
PMC2996381,GSE20652,PMC2996381
PMC2262896,GSE6497,PMC2262896
PMC6766647,GSE110256,NaN
PMC4299376,GSE52442,PMC4053980
PMC549428,GSE1645,PMC549428
PMC549428,GSM27928,PMC549428
PMC549428,GPL1384,PMC549428
PMC549428,GSM27819,PMC549428
PMC549428,GSM27836,PMC549428
PMC549428,GSM27915,PMC549428
PMC549428,GSM27816,PMC549428
PMC549428,GSM27835,PMC549428
PMC3020973,GSE20886,PMC3020973
PMC6233495,GSE75666,PMC6233495
PMC2821300,GSM419996,NaN
PMC2821300,GSM419995,NaN
PMC2821300,GSM419997,NaN
PMC6055581,GSE74099,PMC6055581
PMC6557599,GSE117995,NaN
PMC4726121,GSE67309,PMC4726121
PMC2373493,GSE4909,PMC1852219
PMC5122380,GSE69006,NaN
PMC3904965,GSE49785,PMC3904965
PMC3916515,GSE54097,PMC3916515
PMC3056716,GSE24982,PMC3056716
PMC2907698,GSE15387,PMC2907698
PMC2796719,GSE18395,NaN
PMC2621214,GSM346593,PMC2621214
PMC2621214,GSE13761,PMC2621214
PMC2621214,GSM346592,PMC2621214
PMC4374211,GSE65416,PMC4374211
PMC4376087,GSE53468,PMC4376087
PMC3247208,GSE26337,PMC3247208
PMC3913705,GSE45118,PMC3913705
PMC5984075,GSE73345,PMC5984075
PMC4945649,GSE56296,PMC4945649
PMC3350520,GSE33891,PMC3350520
PMC5006096,GSE74516,PMC5896562
PMC4974480,GSE80160,PMC4974480
PMC3006157,GSE21676,PMC3006157
PMC3006157,GSE21675,PMC3006157
PMC3817345,GSE48588,PMC3817345
PMC3817345,GSE48590,PMC3817345
PMC3817345,GSE48589,PMC3817345
PMC3315468,GSE26685,PMC3315468
PMC3280250,GSE30875,NaN
PMC3616913,GSE40563,PMC3616913
PMC5356831,GSE84980,PMC5356831
PMC4919597,GSE76936,PMC4919597
PMC4286946,GSE60400,PMC4286946
PMC3077925,GSE25542,PMC3517299
PMC3826595,GSE45267,PMC3826595
PMC3826595,GSE45436,PMC3826595
PMC3826595,GSE45435,PMC3826595
PMC3826595,GSE45434,PMC3826595
