pmc_ID,accession,real_introducer
PMC5762683,GSE77938,
PMC3951414,GSE47561,
PMC7013992,GSE112673,
PMC6822264,GSE123247,
PMC4814051,GSE57129,
PMC6726703,GSE104926,
PMC6325149,GSE110581,
PMC6151890,GSE74530,
PMC5386661,GSE66851,
PMC5386661,GSE66850,
PMC3734234,GSM874413,
PMC3734234,GSM874415,
PMC3734234,GSM724739,
PMC3734234,GSM724741,
PMC4090150,GSE45607,
PMC3648568,GSE30449,
PMC3648568,GSE30462,
PMC3098064,GSE16894,
PMC3098064,GSE16895,
PMC3098064,GSE16896,
PMC5073341,GSE71150,
PMC5073341,GSE58899,
PMC5342701,GSE74633,
PMC5342701,GSE74634,
PMC5342701,GSE74632,
PMC5561104,GSE79432,
PMC6594327,GSE108524,
PMC2826392,GSE9703,
PMC5294251,GSE78155,
PMC5294251,GSE78898,
PMC6689255,GSE118165,
PMC4243381,GSE48385,
PMC5746306,GSE93426,
PMC6582368,GSE119232,
PMC3082249,GSE15844,
PMC5118444,GSE73699,
PMC5029709,GSE77501,
PMC4325704,GSE63353,
PMC4325704,GSE63354,
PMC4325704,GSE63331,
PMC4747192,GSE62326,
PMC2231364,GSE9279,
PMC3688827,GSE45675,
PMC3563587,GSE38419,
PMC3895905,GSE48847,
PMC4384638,GSE64760,
PMC4905741,GSE76621,
PMC4924705,GSE74187,
PMC4951290,GSE75494,
PMC5398938,GSE74943,
PMC4864841,GSE66915,
PMC3577752,GSE34437,
PMC3554778,GSE28517,
PMC3280250,GSE30875,
PMC6168426,GSE110457,
PMC6383149,GSE104891,
PMC6383149,GSE104893,
PMC6383149,GSE104934,
PMC6383149,GSE104892,
PMC5913670,GSE93707,
PMC5913670,GSE93708,
PMC5913670,GSE93716,
PMC5913670,GSE93717,
PMC5918840,GSE108854,
PMC4412052,GSE57594,
PMC2848842,GSM511165,
PMC2848842,GSM511180,
PMC2848842,GSM511164,
PMC2848842,GSM511181,
PMC2848842,GSM511183,
PMC2848842,GSM511166,
PMC2848842,GSM511168,
PMC2848842,GSM511167,
PMC2848842,GSM511178,
PMC2848842,GSM511184,
PMC2848842,GSM511169,
PMC2848842,GSM511170,
PMC2848842,GSM511179,
PMC2848842,GSM511176,
PMC2848842,GSM511177,
PMC2848842,GSM511174,
PMC2848842,GSM511171,
PMC2848842,GSM511172,
PMC2848842,GSM511173,
PMC2848842,GSM511182,
PMC2848842,GSM511175,
PMC2848842,GSE20406,
PMC3573008,GSE41623,
PMC3573008,GSE41622,
PMC2526093,GSE10256,
PMC2526093,GSE10254,
