pmc_ID,accession,real_introducer
PMC5762683,GSE77938,PMC5437911
PMC3951414,GSE47561,NaN
PMC7013992,GSE112673,NaN
PMC6822264,GSE123247,PMC6822264
PMC4814051,GSE57129,NaN
PMC6726703,GSE104926,NaN
PMC6325149,GSE110581,PMC6325149
PMC6151890,GSE74530,PMC4939094
PMC5386661,GSE66851,PMC5386661
PMC5386661,GSE66850,PMC5386661
PMC3734234,GSM874413,NaN
PMC3734234,GSM874415,NaN
PMC3734234,GSM724739,PMC3457574
PMC3734234,GSM724741,PMC3457574
PMC4090150,GSE45607,PMC4090150
PMC3648568,GSE30449,PMC3268746
PMC3648568,GSE30462,PMC3268746
PMC3098064,GSE16894,NaN
PMC3098064,GSE16895,NaN
PMC3098064,GSE16896,NaN
PMC5073341,GSE71150,PMC5073341
PMC5073341,GSE58899,PMC5073341
PMC5342701,GSE74633,NaN
PMC5342701,GSE74634,NaN
PMC5342701,GSE74632,NaN
PMC5561104,GSE79432,NaN
PMC6594327,GSE108524,PMC5834719
PMC2826392,GSE9703,PMC2665168
PMC5294251,GSE78155,PMC5294251
PMC5294251,GSE78898,PMC5294251
PMC6689255,GSE118165,PMC6858557
PMC4243381,GSE48385,NaN
PMC5746306,GSE93426,PMC5746306
PMC6582368,GSE119232,PMC6582368
PMC3082249,GSE15844,PMC3082249
PMC5118444,GSE73699,NaN
PMC5029709,GSE77501,PMC5029709
PMC4325704,GSE63353,PMC4325704
PMC4325704,GSE63354,PMC4325704
PMC4325704,GSE63331,PMC4325704
PMC4747192,GSE62326,PMC4747192
PMC2231364,GSE9279,PMC2231364
PMC3688827,GSE45675,PMC3688827
PMC3563587,GSE38419,PMC3563587
PMC3895905,GSE48847,NaN
PMC4384638,GSE64760,PMC4384638
PMC4905741,GSE76621,PMC4905741
PMC4924705,GSE74187,PMC4924705
PMC4951290,GSE75494,PMC5355296
PMC5398938,GSE74943,PMC5398938
PMC4864841,GSE66915,PMC4864841
PMC3577752,GSE34437,PMC3577752
PMC3554778,GSE28517,NaN
PMC3280250,GSE30875,NaN
PMC6168426,GSE110457,PMC6168426
PMC6383149,GSE104891,PMC6383149
PMC6383149,GSE104893,PMC6383149
PMC6383149,GSE104934,PMC6383149
PMC6383149,GSE104892,PMC6383149
PMC5913670,GSE93707,PMC5913670
PMC5913670,GSE93708,PMC5913670
PMC5913670,GSE93716,PMC5913670
PMC5913670,GSE93717,PMC5913670
PMC5918840,GSE108854,PMC5918840
PMC4412052,GSE57594,PMC4412052
PMC2848842,GSM511165,NaN
PMC2848842,GSM511180,NaN
PMC2848842,GSM511164,NaN
PMC2848842,GSM511181,NaN
PMC2848842,GSM511183,NaN
PMC2848842,GSM511166,NaN
PMC2848842,GSM511168,NaN
PMC2848842,GSM511167,NaN
PMC2848842,GSM511178,NaN
PMC2848842,GSM511184,NaN
PMC2848842,GSM511169,NaN
PMC2848842,GSM511170,NaN
PMC2848842,GSM511179,NaN
PMC2848842,GSM511176,NaN
PMC2848842,GSM511177,NaN
PMC2848842,GSM511174,NaN
PMC2848842,GSM511171,NaN
PMC2848842,GSM511172,NaN
PMC2848842,GSM511173,NaN
PMC2848842,GSM511182,NaN
PMC2848842,GSM511175,NaN
PMC2848842,GSE20406,NaN
PMC3573008,GSE41623,PMC3525581
PMC3573008,GSE41622,PMC3525581
PMC2526093,GSE10256,PMC2526093
PMC2526093,GSE10254,PMC2526093
