insideThreshold,outsideThreshold_insideYear
PMC5240948,PMC3546554
PMC3897493,PMC7079538
PMC4525155,PMC4457147
PMC4267805,PMC6209416
PMC6157970,PMC5525643
PMC4690272,PMC6371417
PMC6858295,PMC2944786
PMC5389521,PMC6895148
PMC6828540,PMC5525643
PMC6083661,PMC3151497
PMC4676555,PMC5750219
PMC5257029,PMC3762193
PMC5852166,PMC5525643
PMC4742710,PMC6023900
PMC5800670,PMC6028583
PMC4528408,PMC2728535
PMC3934907,PMC5525643
PMC5800078,PMC6795848
PMC6018796,PMC4793507
PMC3994032,PMC5525643
PMC6706448,PMC3491380
PMC6642364,PMC6003920
PMC3339464,PMC7105886
PMC6667619,PMC5525643
PMC6478711,PMC5389484
PMC4251824,PMC4094447
PMC5506216,PMC6667343
PMC4064320,PMC5525643
PMC5685158,PMC6843279
PMC6557975,PMC6776760
PMC3468353,PMC6317063
PMC5397871,PMC5525643
PMC3542174,PMC6646334
PMC4046652,PMC6374654
PMC5903863,PMC5058556
PMC5772172,PMC3500769
PMC6021084,PMC6565613
PMC3164196,PMC4207643
PMC6395875,PMC5525643
PMC4099372,PMC6258457
PMC4906271,PMC4865099
PMC5584803,PMC5525643
PMC4055111,PMC3118147
PMC6494907,PMC6969056
PMC6776778,PMC6639608
PMC4349701,PMC6489618
PMC5506430,PMC5525643
PMC6461988,PMC6685043
PMC5209709,PMC7106766
PMC5539636,PMC6646334
PMC4713039,PMC4517739
PMC4702150,PMC6173838
PMC6122167,PMC5368985
PMC5314123,PMC4073501
PMC3663925,PMC5600958
PMC5473570,PMC7111271
PMC4540939,PMC2621214
PMC6158513,PMC4932534
PMC2797534,PMC5035074
PMC4720449,PMC5964232
PMC6134752,PMC4338058
PMC5737671,PMC5134058
PMC6588374,PMC5961450
PMC4266856,PMC5812548
PMC6702212,PMC5739787
PMC4958311,PMC6274997
PMC4409089,PMC4196759
PMC6264153,PMC6127568
PMC4940164,PMC6052542
PMC4347972,PMC6155782
PMC2791780,PMC3505460
PMC4455776,PMC4657477
PMC5399671,PMC5725013
PMC6748930,PMC5572715
PMC5436145,PMC5886760
PMC6122167,PMC4262388
PMC6202448,PMC5578099
PMC3041646,PMC4701220
PMC4829534,PMC4850893
PMC6664520,PMC4796566
PMC3943898,PMC6095483
PMC3756056,PMC5520058
PMC6719010,PMC4640563
PMC6198989,PMC5389577
PMC3407247,PMC5861296
PMC6093660,PMC4505317
PMC4847940,PMC4199545
PMC6806494,PMC4864841
PMC5856536,PMC5055346
PMC5219690,PMC5213309
PMC6413938,PMC5600958
PMC5783423,PMC4010464
PMC5436145,PMC5880886
PMC6100185,PMC5687512
PMC5125832,PMC5833094
PMC4336476,PMC4223704
PMC4515876,PMC3851765
PMC4718573,PMC5472328
PMC5603525,PMC5861296
PMC2871029,PMC4201433
