journal,pmc_ID,pmc_date
BMC_Genomics,PMC4938905,2016-07-08
BMC_Genomics,PMC4938946,2016-07-09
BMC_Genomics,PMC3582436,2013-02-15
BMC_Genomics,PMC3582483,2012-11-05
BMC_Genomics,PMC3582489,2012-09-06
BMC_Genomics,PMC3582591,2012-11-04
BMC_Genomics,PMC3582595,2012-12-18
BMC_Genomics,PMC3583795,2013-01-16
BMC_Genomics,PMC3585874,2012-11-21
BMC_Genomics,PMC4514945,2015-07-25
BMC_Genomics,PMC4517385,2015-07-28
BMC_Genomics,PMC4515932,2015-07-28
BMC_Genomics,PMC4518884,2015-07-29
BMC_Genomics,PMC4518661,2015-07-29
BMC_Genomics,PMC4349605,2015-02-25
BMC_Genomics,PMC4340671,2015-02-19
BMC_Genomics,PMC4352242,2015-02-27
BMC_Genomics,PMC4342875,2015-02-18
BMC_Genomics,PMC4336699,2015-02-18
BMC_Genomics,PMC4347561,2015-02-18
BMC_Genomics,PMC4347651,2015-02-21
BMC_Genomics,PMC4337092,2015-02-19
BMC_Genomics,PMC4337061,2015-02-18
BMC_Genomics,PMC4349229,2015-02-25
BMC_Genomics,PMC4334403,2015-02-14
BMC_Genomics,PMC4352269,2015-03-04
BMC_Genomics,PMC4356054,2015-03-08
BMC_Genomics,PMC4349310,2015-02-21
BMC_Genomics,PMC4349473,2015-02-25
BMC_Genomics,PMC4048457,2014-05-09
BMC_Genomics,PMC4746818,2016-02-09
BMC_Genomics,PMC4344806,2015-02-22
BMC_Genomics,PMC4336476,2015-02-14
BMC_Genomics,PMC4345001,2015-02-26
BMC_Genomics,PMC4345017,2015-02-19
BMC_Genomics,PMC4345003,2015-02-21
BMC_Genomics,PMC4340878,2015-02-22
BMC_Genomics,PMC4337095,2015-02-21
BMC_Genomics,PMC1482311,2006-05-08
BMC_Genomics,PMC1618849,2006-10-13
BMC_Genomics,PMC5210278,2017-01-03
BMC_Genomics,PMC5210311,2017-01-03
BMC_Genomics,PMC1664577,2006-11-22
BMC_Genomics,PMC1501020,2006-06-01
BMC_Genomics,PMC2278132,2008-02-03
BMC_Genomics,PMC2386825,2008-05-05
BMC_Genomics,PMC2430976,2008-06-02
BMC_Genomics,PMC2440768,2008-06-05
BMC_Genomics,PMC2573897,2008-10-10
BMC_Genomics,PMC2204013,2007-10-22
BMC_Genomics,PMC5210266,2017-01-03
BMC_Genomics,PMC2396644,2008-05-16
BMC_Genomics,PMC2637875,2008-12-23
BMC_Genomics,PMC2213675,2007-09-24
BMC_Genomics,PMC2244606,2008-01-11
BMC_Genomics,PMC2194786,2007-09-14
BMC_Genomics,PMC2424064,2008-06-03
BMC_Genomics,PMC2676304,2009-04-16
BMC_Genomics,PMC2676301,2009-03-30
BMC_Genomics,PMC2703655,2009-06-05
BMC_Genomics,PMC2741491,2009-08-22
BMC_Genomics,PMC2741493,2009-08-28
BMC_Genomics,PMC2686739,2009-05-12
BMC_Genomics,PMC2637897,2009-01-16
BMC_Genomics,PMC2585104,2008-11-07
BMC_Genomics,PMC2858751,2010-03-26
BMC_Genomics,PMC2842250,2010-03-01
BMC_Genomics,PMC2820458,2010-01-05
BMC_Genomics,PMC2901317,2010-05-31
BMC_Genomics,PMC2833160,2010-02-18
BMC_Genomics,PMC2837035,2010-02-23
BMC_Genomics,PMC2837036,2010-02-24
BMC_Genomics,PMC2846913,2010-02-25
BMC_Genomics,PMC2848245,2010-03-12
BMC_Genomics,PMC2847973,2010-03-17
BMC_Genomics,PMC2858150,2010-03-22
BMC_Genomics,PMC2861062,2010-03-25
BMC_Genomics,PMC2850359,2010-03-22
BMC_Genomics,PMC2853524,2010-03-26
BMC_Genomics,PMC2823688,2010-01-11
BMC_Genomics,PMC2864246,2010-04-09
BMC_Genomics,PMC2867831,2010-04-16
BMC_Genomics,PMC2886062,2010-04-28
BMC_Genomics,PMC2875238,2010-04-26
BMC_Genomics,PMC2864249,2010-04-17
BMC_Genomics,PMC2885366,2010-05-13
BMC_Genomics,PMC2885369,2010-05-20
BMC_Genomics,PMC2891614,2010-05-24
BMC_Genomics,PMC2890562,2010-05-26
BMC_Genomics,PMC2890563,2010-05-26
BMC_Genomics,PMC2889901,2010-06-03
BMC_Genomics,PMC2817691,2010-01-15
BMC_Genomics,PMC2898760,2010-06-24
BMC_Genomics,PMC2881028,2010-01-20
BMC_Genomics,PMC2996993,2010-09-16
BMC_Genomics,PMC2823691,2010-01-04
BMC_Genomics,PMC2685408,2009-05-01
BMC_Genomics,PMC2837040,2010-02-01
BMC_Genomics,PMC526184,2004-09-29
BMC_Genomics,PMC1199595,2005-08-05
BMC_Genomics,PMC1250226,2005-09-08
BMC_Genomics,PMC1261260,2005-09-14
BMC_Genomics,PMC1283972,2005-10-14
BMC_Genomics,PMC1312317,2005-10-21
BMC_Genomics,PMC1435885,2006-03-21
BMC_Genomics,PMC1435884,2006-03-17
BMC_Genomics,PMC1501018,2006-06-05
BMC_Genomics,PMC1513212,2006-04-27
BMC_Genomics,PMC1525186,2006-06-15
BMC_Genomics,PMC1525191,2006-05-18
BMC_Genomics,PMC1550726,2006-06-06
BMC_Genomics,PMC1564015,2006-08-16
BMC_Genomics,PMC1590027,2006-08-26
BMC_Genomics,PMC1592091,2006-09-14
BMC_Genomics,PMC1618399,2006-10-11
BMC_Genomics,PMC1621085,2006-10-16
BMC_Genomics,PMC1626471,2006-10-19
BMC_Genomics,PMC1635984,2006-10-31
BMC_Genomics,PMC1693924,2006-11-30
BMC_Genomics,PMC1764740,2006-12-08
BMC_Genomics,PMC1796866,2007-01-23
BMC_Genomics,PMC1797021,2007-01-22
BMC_Genomics,PMC1808064,2007-02-21
BMC_Genomics,PMC1831773,2007-03-01
BMC_Genomics,PMC1832192,2007-03-13
BMC_Genomics,PMC1847444,2007-03-23
BMC_Genomics,PMC1851713,2007-03-29
BMC_Genomics,PMC1852103,2007-03-30
BMC_Genomics,PMC1853087,2007-04-03
BMC_Genomics,PMC1858692,2007-04-11
BMC_Genomics,PMC1865386,2007-04-05
BMC_Genomics,PMC1868757,2007-04-30
BMC_Genomics,PMC1871584,2007-04-11
BMC_Genomics,PMC1884150,2007-05-09
BMC_Genomics,PMC1888706,2007-05-22
BMC_Genomics,PMC1894975,2007-06-01
BMC_Genomics,PMC1899502,2007-06-01
BMC_Genomics,PMC1899500,2007-06-07
BMC_Genomics,PMC1904204,2007-06-06
BMC_Genomics,PMC1920521,2007-06-07
BMC_Genomics,PMC1924859,2007-06-19
BMC_Genomics,PMC1925098,2007-06-22
BMC_Genomics,PMC1929076,2007-07-02
BMC_Genomics,PMC1929075,2007-07-01
BMC_Genomics,PMC1931595,2007-07-03
BMC_Genomics,PMC1934369,2007-07-16
BMC_Genomics,PMC1934371,2007-07-09
BMC_Genomics,PMC1934918,2007-07-10
BMC_Genomics,PMC1940012,2007-07-05
BMC_Genomics,PMC1947970,2007-07-18
BMC_Genomics,PMC1949829,2007-07-05
BMC_Genomics,PMC1959522,2007-07-10
BMC_Genomics,PMC1971072,2007-08-07
BMC_Genomics,PMC1976134,2007-07-12
BMC_Genomics,PMC2000902,2007-08-20
BMC_Genomics,PMC2001199,2007-08-29
BMC_Genomics,PMC2014778,2007-07-31
BMC_Genomics,PMC2020488,2007-08-28
BMC_Genomics,PMC2064937,2007-09-20
BMC_Genomics,PMC2077339,2007-08-29
BMC_Genomics,PMC2040161,2007-09-19
BMC_Genomics,PMC2078596,2007-10-02
BMC_Genomics,PMC2099445,2007-10-04
BMC_Genomics,PMC2147034,2007-10-09
BMC_Genomics,PMC2174953,2007-09-12
BMC_Genomics,PMC2174954,2007-10-05
BMC_Genomics,PMC2190772,2007-10-02
BMC_Genomics,PMC2190774,2007-11-12
BMC_Genomics,PMC2204014,2007-11-07
BMC_Genomics,PMC2213678,2007-10-31
BMC_Genomics,PMC2219888,2007-11-07
BMC_Genomics,PMC2220004,2007-11-07
BMC_Genomics,PMC2222645,2007-10-05
BMC_Genomics,PMC2231380,2007-11-26
BMC_Genomics,PMC2234262,2007-12-19
BMC_Genomics,PMC2234263,2007-12-21
BMC_Genomics,PMC2234434,2007-12-10
BMC_Genomics,PMC2238769,2007-11-28
BMC_Genomics,PMC2242807,2007-11-23
BMC_Genomics,PMC2244637,2007-12-18
