date,OG_NCBI_SRA,RE_NCBI_SRA,OG_EMBL,RE_EMBL,OG_DDBJ,RE_DDBJ,OG_NCBI_GEO,RE_NCBI_GEO
1998,0,0,0,0,0,0,1,0
1999,0,0,0,0,0,0,3,0
2000,0,0,0,0,0,0,1,0
2001,0,0,0,0,0,0,5,1
2002,0,0,0,0,0,0,13,3
2003,0,0,0,0,0,0,12,2
2004,0,0,0,0,0,0,49,7
2005,0,0,0,0,0,0,152,10
2006,0,0,0,0,0,0,292,45
2007,0,0,0,0,0,0,633,115
2008,15,2,4,0,0,0,936,296
2009,82,3,15,2,1,0,1376,547
2010,365,18,17,4,13,2,2043,1086
2011,691,53,84,12,83,3,2324,1312
2012,1302,128,190,28,48,3,2875,1928
2013,2564,223,731,50,154,5,3820,2985
2014,4760,411,962,109,220,10,4598,3856
2015,6686,761,2772,181,383,37,5305,4976
2016,8975,1002,1672,252,432,33,5866,7058
2017,12753,1566,6989,237,461,88,6612,8679
2018,14937,1670,2017,308,528,53,7346,10518
2019,8683,1036,882,95,358,17,3643,6238
