journal,pmc_ID,accession,converted_accession,repository,pmc_date,repository_date,species,hardware,library_strategy,sraAvg_length,sraBases,sraAccess,today,time_public,reuse_count,norm_reuse_count,reuse_role,pub_delay,class
BMC_Cancer,PMC1544346,GSE3325,GSE3325,GEO,2006-06-14 00:00:00,2005-09-20,Homo sapiens,in situ oligonucleotide,Expression_Array,,,,2020-12-09,15.23013698630137,94,6.171973376506567,G,267.0,GEO_expr
BMC_Med_Genomics,PMC2689870,GSE12417,GSE12417,GEO,2009-04-24 00:00:00,2008-08-22,Homo sapiens,in situ oligonucleotide,Expression_Array,,,,2020-12-09,12.306849315068495,99,8.044300979519145,G,245.0,GEO_expr
BMC_Syst_Biol,PMC2892460,GSE14333,GSE14333,GEO,2010-06-04 00:00:00,2010-01-08,Homo sapiens,in situ oligonucleotide,Expression_Array,,,,2020-12-09,10.926027397260272,189,17.298144433299903,G,147.0,GEO_expr
BMC_Cancer,PMC2077336,GSE5327,GSE5327,GEO,2007-09-25 00:00:00,2007-05-14,Homo sapiens,in situ oligonucleotide,Expression_Array,,,,2020-12-09,13.583561643835615,99,7.288221056877773,G,134.0,GEO_expr
BMC_Bioinformatics,PMC1764432,GSE5350,GSE5350,GEO,2006-12-15 00:00:00,2006-09-08,Homo sapiens;Rattus norvegicus,in situ oligonucleotide,Expression_Array,,,,2020-12-09,14.263013698630138,78,5.468689973107952,G,98.0,GEO_expr
PLoS_One,PMC3174972,GSE25097,GSE25097,GEO,2011-09-16 00:00:00,2011-07-05,Homo sapiens,in situ oligonucleotide,Expression_Array,,,,2020-12-09,9.438356164383563,93,9.853410740203193,G,73.0,GEO_expr
BMC_Med,PMC1555602,GSE1456,GSE1456,GEO,2006-06-30 00:00:00,2006-05-31,Homo sapiens,in situ oligonucleotide,Expression_Array,,,,2020-12-09,14.536986301369865,269,18.504523181304183,G,30.0,GEO_expr
BMC_Genomics,PMC2423197,GSE9195,GSE9195,GEO,2008-05-22 00:00:00,2008-05-07,Homo sapiens,in situ oligonucleotide,Expression_Array,,,,2020-12-09,12.6,105,8.333333333333334,G,15.0,GEO_expr
PLoS_One,PMC2249927,GSE10072,GSE10072,GEO,2008-02-20 00:00:00,2008-02-20,Homo sapiens,in situ oligonucleotide,Expression_Array,,,,2020-12-09,12.810958904109588,136,10.615911035072713,G,0.0,GEO_expr
Nat_Med,PMC2826790,GSE19615,GSE19615,GEO,2010-01-04 00:00:00,2010-01-05,Homo sapiens,in situ oligonucleotide,Expression_Array,,,,2020-12-09,10.934246575342462,84,7.6822851415685305,G,-1.0,GEO_expr
