journal,pmc_ID,accession,converted_accession,repository,pmc_date,repository_date,species,hardware,library_strategy,sraAvg_length,sraBases,sraAccess,today,time_public,reuse_count,norm_reuse_count,reuse_role,pub_delay,class
BMC_Genomics,PMC5704640,GSE81861,GSE81861,GEO,2017-11-28 00:00:00,2017-03-20,Homo sapiens,high-throughput sequencing,RNA-Seq,,,,2020-12-09,3.7260273972602738,15,4.025735294117648,G,253.0,RNA-Seq
PLoS_One,PMC3758341,GSE41637,GSE41637,GEO,2013-08-30 00:00:00,2012-12-21,Bos taurus;Gallus gallus;Macaca mulatta;Mus musculus;Rattus norvegicus,high-throughput sequencing,RNA-Seq,,,,2020-12-09,7.972602739726027,29,3.63745704467354,G,252.0,RNA-Seq
Genome_Biol,PMC4354993,GSE57872,GSE57872,GEO,2015-01-22 00:00:00,2014-06-12,Homo sapiens,high-throughput sequencing,RNA-Seq,,,,2020-12-09,6.4986301369863035,22,3.3853288364249576,G,224.0,RNA-Seq
Nucleic_Acids_Res,PMC4551926,GSE63525,GSE63525,GEO,2015-07-06 00:00:00,2014-12-11,Homo sapiens;Mus musculus,high-throughput sequencing,RNA-Seq,,,,2020-12-09,6.0,117,19.5,G,207.0,RNA-Seq
PLoS_One,PMC3595286,GSE31012,GSE31012,GEO,2013-03-12 00:00:00,2012-09-13,Crassostrea gigas,high-throughput sequencing,RNA-Seq,,,,2020-12-09,8.243835616438357,22,2.6686606846128282,G,180.0,RNA-Seq
Genome_Biol,PMC3245612,ERP000546,ERP000546,SRA,2011-08-11 00:00:00,2011-03-17,Homo sapiens,Illumina HiSeq 2000,RNA-Seq,75.0,6018499275.0,public,2020-12-09,9.739726027397259,55,5.646976090014063,G,147.0,RNA-Seq
BMC_Genomics,PMC3925986,GSE36552,GSE36552,GEO,2014-01-03 00:00:00,2013-08-10,Homo sapiens,high-throughput sequencing,RNA-Seq,,,,2020-12-09,7.336986301369863,56,7.632561613144138,G,146.0,RNA-Seq
Front_Mol_Neurosci,PMC4227287,SRP033200,GSE52564,GEO,2014-11-11 00:00:00,2014-08-15,Mus musculus,high-throughput sequencing,RNA-Seq,,,,2020-12-09,6.323287671232878,24,3.7954939341421134,G,88.0,RNA-Seq
Sci_Rep,PMC5316967,GSE75688,GSE75688,GEO,2017-02-20 00:00:00,2016-12-09,Homo sapiens,high-throughput sequencing,RNA-Seq,,,,2020-12-09,4.002739726027397,24,5.9958932238193015,G,73.0,RNA-Seq
Genome_Biol,PMC4989499,GSE75748,GSE75748,GEO,2016-08-17 00:00:00,2016-07-21,Homo sapiens,high-throughput sequencing,RNA-Seq,,,,2020-12-09,4.389041095890411,14,3.1897627965043696,G,27.0,RNA-Seq
Int_J_Genomics,PMC4365374,GSE57148,GSE57148,GEO,2015-03-05 00:00:00,2015-02-20,Homo sapiens,high-throughput sequencing,RNA-Seq,,,,2020-12-09,5.8054794520547945,15,2.583765927324209,G,13.0,RNA-Seq
Breast_Cancer_Res_Treat,PMC4085473,GSE58135,GSE58135,GEO,2014-06-15 00:00:00,2014-06-11,Homo sapiens,high-throughput sequencing,RNA-Seq,,,,2020-12-09,6.5013698630136965,18,2.7686472819216186,G,4.0,RNA-Seq
Cell,PMC5651218,GSE96107,GSE96107,GEO,2017-10-19 00:00:00,2017-10-18,Mus musculus,high-throughput sequencing,RNA-Seq,,,,2020-12-09,3.1452054794520548,18,5.7229965156794425,G,1.0,RNA-Seq
Nat_Neurosci,PMC4985242,GSE71585,GSE71585,GEO,2016-01-04 00:00:00,2016-01-04,Mus musculus,high-throughput sequencing,RNA-Seq,,,,2020-12-09,4.934246575342466,19,3.850638534147696,G,0.0,RNA-Seq
Nat_Biotechnol,PMC4122333,GSE52529,GSE52529,GEO,2014-03-23 00:00:00,2014-03-23,Homo sapiens,high-throughput sequencing,RNA-Seq,,,,2020-12-09,6.720547945205479,20,2.9759478189971467,G,0.0,RNA-Seq
Proc_Natl_Acad_Sci_U_S_A,PMC4466750,GSE67835,GSE67835,GEO,2015-05-18 00:00:00,2015-05-20,Homo sapiens,high-throughput sequencing,RNA-Seq,,,,2020-12-09,5.561643835616438,35,6.293103448275862,G,-2.0,RNA-Seq
BMC_Plant_Biol,PMC4474349,SRP045409,SRP045409,SRA,2015-06-20 00:00:00,2015-07-06,Triticum aestivum,Illumina HiSeq 2000,RNA-Seq,200.0,16266243800.0,public,2020-12-09,5.432876712328767,22,4.049420070600101,G,-16.0,RNA-Seq
PLoS_One,PMC4196925,GSE60424,GSE60424,GEO,2014-10-14 00:00:00,2015-01-06,Homo sapiens,high-throughput sequencing,RNA-Seq,,,,2020-12-09,5.92876712328767,20,3.3733826247689462,G,-84.0,RNA-Seq
Front_Microbiol,PMC4403553,SRA166613,SRP042159,SRA,2015-04-20 00:00:00,2015-07-22,Thalassionema nitzschioides,Illumina HiSeq 2000,RNA-Seq,200.0,59049600.0,public,2020-12-09,5.389041095890411,16,2.9689883070665988,G,-93.0,RNA-Seq
Microbiol_Resour_Announc,PMC6256436,PRJNA491634,SRP162046,SRA,2018-10-18 00:00:00,2019-07-12,Andean potato mottle virus,Illumina MiSeq,RNA-Seq,422.0,118636140.0,public,2020-12-09,1.4136986301369865,4,2.8294573643410854,G,-267.0,RNA-Seq
BMC_Genomics,PMC4352269,SRR594464,GSE41637,GEO,2015-03-04,2012-12-21,Bos taurus;Gallus gallus;Macaca mulatta;Mus musculus;Rattus norvegicus,high-throughput sequencing,RNA-Seq,,,,2020-12-09,7.972602739726027,29,3.63745704467354,R,,RNA-Seq
BMC_Genomics,PMC4509753,SRX196389,GSE41637,GEO,2015-07-22,2012-12-21,Bos taurus;Gallus gallus;Macaca mulatta;Mus musculus;Rattus norvegicus,high-throughput sequencing,RNA-Seq,,,,2020-12-09,7.972602739726027,29,3.63745704467354,R,,RNA-Seq
BMC_Genomics,PMC4509753,SRX196371,GSE41637,GEO,2015-07-22,2012-12-21,Bos taurus;Gallus gallus;Macaca mulatta;Mus musculus;Rattus norvegicus,high-throughput sequencing,RNA-Seq,,,,2020-12-09,7.972602739726027,29,3.63745704467354,R,,RNA-Seq
