id,reuseCount
GDE1,3
GDE2,1
GDE5,0
GDL1,0
GDL15,0
GDL20,0
GDS00006,0
GDS00007,0
GDS1,9
GDS100,0
GDS1011,0
GDS1013,0
GDS1017,0
GDS1018,0
GDS1022,0
GDS1023,2
GDS1027,1
GDS1030,0
GDS1036,0
GDS104,0
GDS1044,0
GDS1048,0
GDS1057,0
GDS1062,1
GDS1064,0
GDS1065,0
GDS1067,2
GDS1070,2
GDS1076,0
GDS108,0
GDS1084,0
GDS1096,3
GDS1103,0
GDS1115,0
GDS112,1
GDS1209,4
GDS1210,2
GDS1215,0
GDS1220,2
GDS1221,0
GDS1231,0
GDS1239,0
GDS124,0
GDS1249,0
GDS1257,1
GDS1259,0
GDS1269,0
GDS1277,0
GDS1282,1
GDS1290,0
GDS1299,0
GDS1304,0
GDS1312,1
GDS1319,1
GDS1320,0
GDS1321,1
GDS1324,0
GDS1326,0
GDS1329,3
GDS1330,0
GDS1331,1
GDS1332,0
GDS1340,0
GDS1365,0
GDS1375,3
GDS1388,1
GDS1390,0
GDS1392,0
GDS1397,0
GDS14,0
GDS1402,0
GDS1404,0
GDS1406,0
GDS1407,0
GDS1408,0
GDS1428,0
GDS1436,0
GDS1439,2
GDS1443,0
GDS1449,0
GDS1454,1
GDS1455,0
GDS1479,1
GDS1490,0
GDS1515,0
GDS1517,1
GDS1549,0
GDS1555,0
GDS156,1
GDS1615,1
GDS1627,0
GDS1629,0
GDS1634,0
GDS1635,0
GDS1648,0
GDS1650,1
GDS1663,0
GDS1665,0
GDS1673,0
GDS1684,0
GDS1686,0
GDS1688,0
GDS1693,0
GDS171,0
GDS1724,0
GDS1726,1
GDS1752,0
GDS1761,0
GDS1779,0
GDS1780,0
GDS1786,0
GDS1793,0
GDS18,0
GDS181,2
GDS1813,0
GDS1815,3
GDS182,1
GDS1823,1
GDS1824,1
GDS183,0
GDS184,0
GDS1848,0
GDS1858,1
GDS1875,0
GDS1883,0
GDS1917,0
GDS1926,0
GDS1962,3
GDS1971,0
GDS1975,2
GDS1985,0
GDS1989,0
GDS2,0
GDS20,0
GDS2003,0
GDS2018,0
GDS2029,0
GDS2036,0
GDS2055,0
GDS2057,1
GDS2089,0
GDS2090,0
GDS2096,0
GDS2098,0
GDS2107,0
GDS2113,1
GDS2144,0
GDS2154,0
GDS2162,0
GDS2190,0
GDS2191,0
GDS22,1
GDS2201,0
GDS2202,0
GDS2203,1
GDS2209,0
GDS221,0
GDS2213,0
GDS2214,0
GDS222,0
GDS223,0
GDS2240,0
GDS226,0
GDS2272,0
GDS2318,1
GDS2319,0
GDS232,1
GDS2324,0
GDS2347,0
GDS2350,0
GDS2362,1
GDS2367,0
GDS2373,0
GDS2391,0
GDS2412,0
GDS2414,0
GDS2422,0
GDS2470,0
GDS2484,0
GDS2486,0
GDS2489,0
GDS2501,0
GDS2516,1
GDS2519,0
GDS2520,0
GDS253,2
GDS254,0
GDS2545,5
GDS2546,0
GDS2547,1
GDS2552,0
GDS2577,0
GDS2604,0
GDS2609,0
GDS2617,2
GDS2622,0
GDS2623,0
GDS2626,0
GDS264,0
GDS2643,1
GDS2649,0
GDS2654,0
GDS2655,0
GDS2656,0
GDS2657,1
GDS266,2
GDS2666,0
GDS2673,0
GDS2676,0
GDS2678,0
GDS268,4
GDS2688,0
GDS2697,0
GDS2715,0
GDS2718,0
GDS2719,0
GDS273,0
GDS2733,0
GDS2736,1
GDS274,0
GDS2744,0
GDS2758,2
GDS2760,0
GDS2765,0
GDS2771,1
GDS2777,0
GDS2778,0
GDS2781,0
GDS2782,0
GDS279,0
GDS2795,0
GDS2803,0
GDS281,0
GDS2825,0
GDS2842,0
GDS2846,0
GDS285,0
GDS2852,0
GDS2854,0
GDS286,0
GDS2863,0
GDS287,2
GDS288,0
GDS2908,0
GDS292,0
GDS2937,0
GDS2946,0
GDS2960,1
GDS3002,0
GDS3005,0
GDS3011,0
GDS3032,0
GDS3044,0
GDS3087,0
GDS3126,0
GDS3128,0
GDS3129,0
GDS3132,0
GDS3139,0
GDS3149,0
GDS3162,0
GDS318,0
GDS3197,0
GDS3215,1
GDS3216,0
GDS3217,0
GDS3221,0
GDS3225,0
GDS3257,0
GDS3283,0
GDS3289,1
GDS3295,0
GDS331,0
GDS3323,0
GDS3360,0
GDS339,0
GDS3395,0
GDS340,0
GDS3407,0
GDS3421,0
GDS3426,0
GDS3428,0
GDS3442,0
GDS3459,0
GDS3464,1
GDS3476,0
GDS3485,0
GDS3505,1
GDS3518,0
GDS352,0
GDS3521,0
GDS3538,0
GDS3556,0
GDS356,0
GDS3561,0
GDS3579,0
GDS3592,2
GDS3595,0
GDS3603,0
GDS3605,0
GDS3610,0
GDS362,0
GDS3622,0
GDS3623,0
GDS3627,0
GDS3639,0
GDS3640,0
GDS3644,0
GDS3646,0
GDS3648,0
GDS365,0
GDS3661,1
GDS3663,0
GDS3672,0
GDS3689,0
GDS3690,0
GDS3692,0
GDS3702,0
GDS3703,0
GDS3707,0
GDS3715,2
GDS3716,3
GDS3719,0
GDS3729,0
GDS3785,0
GDS38,0
GDS388,0
GDS389,0
GDS390,0
GDS3930,0
GDS395,0
GDS3958,0
GDS3966,0
GDS3995,0
GDS402,0
GDS4028,0
GDS417,0
GDS422,2
GDS427,0
GDS430,0
GDS4321,0
GDS4337,0
GDS44,0
GDS4484,0
GDS465,1
GDS472,2
GDS473,0
GDS486,0
GDS505,0
GDS5055,0
GDS5056,0
GDS5057,0
GDS511,0
GDS516,0
GDS520,0
GDS523,0
GDS531,3
GDS534,4
GDS535,0
GDS536,0
GDS538,0
GDS539,0
GDS540,0
GDS558,0
GDS563,1
GDS564,2
GDS565,0
GDS568,0
GDS578,0
GDS586,0
GDS589,1
GDS592,5
GDS594,0
GDS596,17
GDS599,0
GDS6,1
GDS604,0
GDS606,0
GDS607,0
GDS61,0
GDS649,0
GDS660,1
GDS662,0
GDS666,0
GDS672,0
GDS680,1
GDS69,0
GDS690,1
GDS700,0
GDS704,0
GDS711,1
GDS715,0
GDS724,1
GDS737,0
GDS744,0
GDS749,0
GDS75,0
GDS751,0
GDS756,1
GDS759,0
GDS760,0
GDS77,0
GDS770,0
GDS772,0
GDS78,0
GDS80,0
GDS810,3
GDS817,0
GDS820,1
GDS825,0
GDS829,0
GDS834,0
GDS854,1
GDS855,1
GDS858,0
GDS877,0
GDS88,0
GDS885,2
GDS89,0
GDS900,0
GDS912,0
GDS914,2
GDS915,0
GDS92,0
GDS946,0
GDS948,0
GDS955,0
GDS958,1
GDS961,0
GDS963,1
GDS968,0
GDS972,3
GDS987,0
GDS999,2
GPE1,0
GPE39,0
GPL1,17
GPL10,0
GPL10007,0
GPL10039,0
GPL10067,0
GPL10081,1
GPL10094,0
GPL1010,0
GPL1012,1
GPL1013,1
GPL10162,0
GPL10171,0
GPL10183,0
GPL10248,0
GPL10302,0
GPL10319,0
GPL10320,0
GPL10333,0
GPL1037,0
GPL104,0
GPL10419,0
GPL10522,0
GPL1053,0
GPL10532,0
GPL10539,2
GPL10556,0
GPL10558,1
GPL10679,1
GPL10706,1
GPL1073,1
GPL10739,0
GPL1074,1
GPL10758,0
GPL1077,0
GPL10837,0
GPL10900,0
GPL10908,0
GPL10928,0
GPL11,1
GPL11154,0
GPL11158,0
GPL11184,0
GPL11232,0
GPL11239,0
GPL11258,0
GPL11271,0
GPL11278,1
GPL11330,0
GPL11372,0
GPL11532,0
GPL1197,0
GPL12,0
GPL1209,0
GPL1212,1
GPL1225,0
GPL1261,22
GPL127,0
GPL128,0
GPL1289,0
GPL1290,0
GPL1299,0
GPL1319,0
GPL13192,0
GPL1320,0
GPL13209,0
GPL1322,0
GPL13233,0
GPL13263,0
GPL13276,0
GPL1340,0
GPL13426,0
GPL13443,1
GPL13527,0
GPL13534,1
GPL1355,2
GPL1376,0
GPL13779,0
GPL13782,0
GPL1384,1
GPL1390,3
GPL1391,0
GPL13912,2
GPL13934,1
GPL13936,0
GPL1396,0
GPL13968,0
GPL14111,0
GPL14121,0
GPL14184,1
GPL14372,0
GPL144,0
GPL1444,1
GPL1461,0
GPL14633,0
GPL14736,0
GPL14756,0
GPL1479,0
GPL14824,0
GPL1485,2
GPL14856,0
GPL14862,0
GPL14876,0
GPL14890,0
GPL14896,0
GPL14925,0
GPL14995,0
GPL15033,0
GPL15057,0
GPL15104,0
GPL15124,2
GPL15137,0
GPL1528,1
GPL15314,0
GPL15323,0
GPL15369,0
GPL15478,0
GPL15631,0
GPL15648,0
GPL15718,0
GPL15765,0
GPL158,0
GPL15827,0
GPL15840,3
GPL16012,1
GPL16124,0
GPL16165,0
GPL162,1
GPL1624,0
GPL16244,0
GPL16290,0
GPL16316,0
GPL16317,0
GPL16450,0
GPL16482,0
GPL16524,4
GPL16571,0
GPL16709,0
GPL16784,0
GPL16890,0
GPL16977,0
GPL1708,3
GPL17098,0
GPL17177,0
GPL17188,0
GPL1731,4
GPL1737,0
GPL174,0
GPL1742,0
GPL1744,0
GPL1752,0
GPL17540,0
GPL1756,0
GPL176,0
GPL17677,0
GPL17781,0
GPL17851,0
GPL1786,0
GPL17964,0
GPL180,0
GPL18217,0
GPL1829,0
GPL1832,0
GPL1834,0
GPL18356,0
GPL1836,0
GPL18384,0
GPL18522,0
GPL18530,0
GPL1854,0
GPL18543,0
GPL18617,0
GPL18778,0
GPL1880,0
GPL1881,0
GPL18864,0
GPL18893,0
GPL189,0
GPL1901,0
GPL1902,0
GPL19030,0
GPL19078,0
GPL1914,0
GPL19234,0
GPL19370,0
GPL19458,0
GPL19567,0
GPL1961,0
GPL1972,0
GPL1977,1
GPL198,4
GPL1986,0
GPL199,0
GPL1996,0
GPL2,15
GPL20,1
GPL200,1
GPL2000,0
GPL2004,1
GPL2005,0
GPL201,0
GPL2011,1
GPL2023,0
GPL2025,7
GPL205,0
GPL206,0
GPL2094,0
GPL210,0
GPL2101,0
GPL21065,0
GPL2112,3
GPL21339,0
GPL213613,0
GPL218,1
GPL22016,0
GPL229,1
GPL23,0
GPL246,0
GPL2507,4
GPL2510,0
GPL2529,0
GPL2567,0
GPL257,0
GPL260,0
GPL2614,0
GPL2618,0
GPL2695,0
GPL2696,0
GPL2700,1
GPL2716,0
GPL273,0
GPL2731,0
GPL2750,0
GPL2828,0
GPL285,0
GPL2853,1
GPL2863,2
GPL2864,1
GPL2877,0
GPL2879,0
GPL2884,0
GPL2895,0
GPL2896,0
GPL2911,0
GPL2986,1
GPL3,29
GPL3015,1
GPL3034,1
GPL3076,0
GPL3110,0
GPL3154,1
GPL317,0
GPL3213,2
GPL3279,0
GPL3291,0
GPL3301,0
GPL3333,0
GPL336,0
GPL3365,0
GPL339,6
GPL340,0
GPL3429,0
GPL3433,0
GPL3461,0
GPL3533,3
GPL3538,0
GPL356,0
GPL3585,1
GPL3603,0
GPL3604,0
GPL3608,2
GPL3650,1
GPL366,0
GPL3677,0
GPL3689,0
GPL3707,0
GPL3715,1
GPL3729,2
GPL3797,2
GPL3799,0
GPL3810,1
GPL3830,0
GPL3844,0
GPL3921,1
GPL3922,0
GPL3968,1
GPL3991,1
GPL4,6
GPL4006,0
GPL4032,2
GPL4051,0
GPL4091,0
GPL4097,4
GPL4133,2
GPL4134,0
GPL4135,0
GPL4220,0
GPL4253,0
GPL4263,0
GPL4287,0
GPL4303,0
GPL4305,0
GPL432,0
GPL4349,0
GPL4359,0
GPL4412,0
GPL4423,0
GPL4475,0
GPL4559,0
GPL4566,0
GPL4592,0
GPL4603,0
GPL4635,0
GPL4652,0
GPL4688,0
GPL4723,0
GPL4741,0
GPL4808,0
GPL4980,0
GPL4993,3
GPL5,0
GPL5016,0
GPL5135,0
GPL5137,0
GPL5150,0
GPL517,0
GPL5175,0
GPL518,0
GPL5188,0
GPL5345,0
GPL5369,0
GPL5396,0
GPL542,0
GPL5423,0
GPL5474,0
GPL5480,4
GPL5530,0
GPL5622,0
GPL5624,0
GPL564,0
GPL566,0
GPL5667,0
GPL5673,0
GPL570,43
GPL571,6
GPL5725,0
GPL5731,0
GPL5734,0
GPL5737,0
GPL5751,2
GPL5874,0
GPL5876,0
GPL5918,0
GPL5921,0
GPL6,1
GPL6018,0
GPL6047,0
GPL6049,3
GPL6056,1
GPL6101,0
GPL6102,1
GPL6104,2
GPL6105,0
GPL6129,0
GPL6154,3
GPL6155,0
GPL6189,0
GPL6193,0
GPL6195,0
GPL6244,3
GPL6246,3
GPL6255,0
GPL6284,0
GPL6358,0
GPL6394,0
GPL6413,0
GPL6416,1
GPL6438,1
GPL6467,1
GPL6480,3
GPL6497,0
GPL6516,0
GPL6542,0
GPL6637,0
GPL6647,0
GPL6658,0
GPL6661,0
GPL6796,0
GPL6855,0
GPL6864,1
GPL6883,1
GPL6884,1
GPL6885,0
GPL6887,0
GPL6917,0
GPL6926,0
GPL6933,0
