journalName,totalPapers,repoPapers,pctRepoPapers
3_Biotech,636,32,5.03145
3D_Print_Med,37,1,2.7027
AAPS_J,56,2,3.57143
Acad_Pathol,134,2,1.49254
Acc_Chem_Res,138,1,0.724638
ACS_Appl_Mater_Interfaces,278,2,0.719424
ACS_Biomater_Sci_Eng,47,1,2.12766
ACS_Cent_Sci,793,2,0.252207
ACS_Chem_Biol,351,13,3.7037
ACS_Chem_Neurosci,102,1,0.980392
ACS_Infect_Dis,61,6,9.83607
ACS_Nano,441,10,2.26757
ACS_Omega,989,17,1.71891
ACS_Sens,22,1,4.54545
ACS_Synth_Biol,107,7,6.54206
Acta_Biochim_Biophys_Sin_(Shanghai),7,0,0
Acta_Biomater,50,2,4
Acta_Cir_Bras,47,1,2.12766
Acta_Crystallogr_D_Biol_Crystallogr,504,14,2.77778
Acta_Crystallogr_D_Struct_Biol,213,3,1.40845
Acta_Crystallogr_F_Struct_Biol_Commun,172,20,11.6279
Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun,242,25,10.3306
Acta_Diabetol,105,1,0.952381
Acta_Histochem_Cytochem,331,12,3.62538
Acta_Med_Litu,80,1,1.25
Acta_Naturae,471,34,7.21868
Acta_Neuropathol,427,49,11.4754
Acta_Neuropathol_Commun,807,95,11.772
Acta_Ophthalmol,87,1,1.14943
Acta_Orthop,1303,5,0.38373
Acta_Orthop_Traumatol_Turc,301,2,0.664452
Acta_Ortop_Bras,484,1,0.206612
Acta_Otorhinolaryngol_Ital,585,1,0.17094
Acta_Paediatr,176,1,0.568182
Acta_Pharmacol_Sin,72,7,9.72222
Acta_Pharm_Sin_B,425,23,5.41176
Acta_Physiol_(Oxf),50,0,0
Acta_Theriol_(Warsz),28,0,0
Acta_Trop,24,1,4.16667
Acta_Vet_Scand,1194,18,1.50754
Addict_Behav_Rep,192,5,2.60417
Addict_Biol,38,2,5.26316
Addiction,226,1,0.442478
Addict_Sci_Clin_Pract,582,2,0.343643
Adipocyte,141,9,6.38298
Adv_Appl_Bioinforma_Chem,35,3,8.57143
Adv_Appl_Bioinform_Chem,31,2,6.45161
Adv_Bioinformatics,180,13,7.22222
Adv_Biomed_Res,1276,12,0.940439
Adv_Biosci_Biotechnol,8,1,12.5
Adv_Hematol,272,3,1.10294
Adv_Med,97,2,2.06186
Adv_Microbiol,2,1,50
Adv_Mod_Oncol_Res,1,1,100
Adv_Pediatr_Res,6,1,16.6667
Adv_Pharmacol_Sci,205,5,2.43902
Adv_Pharm_Bull,182,2,1.0989
Adv_Prev_Med,140,3,2.14286
Adv_Radiat_Oncol,280,2,0.714286
Adv_Sci_(Weinh),1417,0,0
Adv_Urol,435,4,0.91954
Adv_Virol,155,8,5.16129
Aerobiologia_(Bologna),48,0,0
Afr_Health_Sci,284,6,2.11268
Afr_J_Infect_Dis,89,1,1.1236
Afr_J_Lab_Med,190,6,3.15789
Afr_J_Prim_Health_Care_Fam_Med,546,1,0.18315
Afr_J_Tradit_Complement_Altern_Med,229,2,0.873362
Age_Ageing,184,4,2.17391
Age_(Dordr),116,0,0
Aging_(Albany_NY),2022,0,0
Aging_Cell,885,111,12.5424
Aging_Clin_Exp_Res,80,2,2.5
Aging_Dis,263,9,3.42205
AIDS,281,2,0.711744
AIDS_Behav,246,6,2.43902
AIDS_Res_Hum_Retroviruses,56,1,1.78571
AIDS_Res_Ther,521,8,1.53551
AIDS_Res_Treat,277,3,1.08303
AIMS_Biophys,15,1,6.66667
AIMS_Genet,5,1,20
AIMS_Microbiol,100,10,10
Air_Qual_Atmos_Health,83,1,1.20482
Alcohol_Clin_Exp_Res,52,1,1.92308
Algorithms_Mol_Biol,347,31,8.93372
Aliment_Pharmacol_Ther,120,1,0.833333
Allergy,162,3,1.85185
Allergy_Asthma_Clin_Immunol,890,5,0.561798
Allergy_Asthma_Immunol_Res,690,11,1.5942
Alzheimers_Dement,44,1,2.27273
Alzheimers_Dement_(Amst),342,0,0
Alzheimers_Dement_(N_Y),237,0,0
Alzheimers_Res_Ther,708,37,5.22599
AMB_Express,996,214,21.4859
Ambio,350,1,0.285714
AMIA_Jt_Summits_Transl_Sci_Proc,383,25,6.52742
Amino_Acids,161,4,2.48447
Am_J_Clin_Nutr,239,2,0.83682
Am_J_Clin_Pathol,20,1,5
