cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169933.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169936.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinforma_Chem/PMC3169945.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinform_Chem/PMC3810201.nxml , skipping..
cannot open /u/scratch/n/nikodm/pmcOA/Adv_Appl_Bioinform_Chem/PMC5391158.nxml , skipping..
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC2775695.nxml
surname | te Pas
given-names | M. F. W.
surname | van Hemert
given-names | S.
surname | Hulsegge
given-names | B.
surname | Hoekman
given-names | A. J. W.
surname | Pool
given-names | M. H.
surname | Rebel
given-names | J. M. J.
surname | Smits
given-names | M. A.
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC3364545.nxml
surname | Thessen
given-names | Anne E.
surname | Cui
given-names | Hong
surname | Mozzherin
given-names | Dmitry
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC3449101.nxml
surname | Roberts
given-names | Ian
surname | Carter
given-names | Stephanie A.
surname | Scarpini
given-names | Cinzia G.
surname | Karagavriilidou
given-names | Konstantina
surname | Barna
given-names | Jenny C. J.
surname | Calleja
given-names | Mark
surname | Coleman
given-names | Nicholas
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC3502784.nxml
surname | Alshalalfa
given-names | Mohammed
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC3600350.nxml
surname | Khunlertgit
given-names | Navadon
surname | Yoon
given-names | Byung-Jun
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC3610383.nxml
surname | Flores
given-names | Mario
surname | Hsiao
given-names | Tzu-Hung
surname | Chiu
given-names | Yu-Chiao
surname | Chuang
given-names | Eric Y.
surname | Huang
given-names | Yufei
surname | Chen
given-names | Yidong
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC3610395.nxml
surname | Serhal
given-names | Philippe
surname | Lemieux
given-names | Sébastien
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC3809938.nxml
surname | Rao
given-names | Sreevidya Sadananda Sadasiva
surname | Shepherd
given-names | Lori A.
surname | Bruno
given-names | Andrew E.
surname | Liu
given-names | Song
surname | Miecznikowski
given-names | Jeffrey C.
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC4009243.nxml
surname | Tran
given-names | Hong
surname | Porter
given-names | Jacob
surname | Sun
given-names | Ming-an
surname | Xie
given-names | Hehuang
surname | Zhang
given-names | Liqing
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC4660016.nxml
surname | Chaddad
given-names | Ahmad
surname | Tanougast
given-names | Camel
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC4698518.nxml
surname | Sun
given-names | Ming-an
surname | Velmurugan
given-names | Karthik Raja
surname | Keimig
given-names | David
surname | Xie
given-names | Hehuang
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC4698526.nxml
surname | Khrustalev
given-names | Vladislav Victorovich
surname | Barkovsky
given-names | Eugene Victorovich
surname | Khrustaleva
given-names | Tatyana Aleksandrovna
publication | /u/scratch/n/nikodm/pmcOA/Adv_Bioinformatics/PMC5896349.nxml
surname | Sahlabadi
given-names | Amirhossein
surname | Chandren Muniyandi
given-names | Ravie
