journalName,MULTI,NCBI_SRA,EMBL,DDBJ,NCBI_GEO,TCGA,GTEx
20_Century_Br_Hist,0,0,0,0,0,0,0
3_Biotech,0,5,1,0,0,25,1
3D_Print_Med,0,0,0,0,0,1,0
A_A_Case_Rep,0,0,0,0,0,0,0
A_A_Pract,0,0,0,0,0,0,0
AAPS_J,0,0,0,0,1,1,0
AAPS_Open,0,0,0,0,0,0,0
AAPS_PharmSciTech,0,0,0,0,0,0,0
AAS_Open_Res,0,0,0,0,0,0,0
Abdom_Imaging,0,0,0,0,0,0,0
Abdom_Radiol,0,0,0,0,0,0,0
Abdom_Radiol__NY_,0,0,0,0,0,0,0
Acad_Emerg_Med,0,0,0,0,0,0,0
Acad_Med,0,0,0,0,0,0,0
Acad_Pathol,0,0,0,0,0,2,0
Acad_Psychiatry,0,0,0,0,0,0,0
Acad_Radiol,0,0,0,0,0,0,0
Acc_Chem_Res,0,0,0,0,0,1,0
Accid_Anal_Prev,0,0,0,0,0,0,0
Account_Res,0,0,0,0,0,0,0
ACG_Case_Rep_J,0,0,0,0,0,0,0
ACM_Trans_Inf_Syst,0,0,0,0,0,0,0
Acoust_Aust,0,0,0,0,0,0,0
Acoustics__Basel_,0,0,0,0,0,0,0
ACS_Appl_Bio_Mater,0,0,0,0,0,0,0
ACS_Appl_Energy_Mater,0,0,0,0,0,0,0
ACS_Appl_Mater_Interfaces,0,0,0,0,0,2,0
ACS_Appl_Nano_Mater,0,0,0,0,0,0,0
ACS_Appl_Polym_Mater,0,0,0,0,0,0,0
ACS_Biomater_Sci_Eng,0,0,0,0,0,1,0
ACS_Catal,0,0,0,0,0,0,0
ACS_Cent_Sci,0,2,0,0,0,0,0
ACS_Chem_Biol,1,2,0,0,1,9,0
ACS_Chem_Neurosci,0,0,0,0,0,1,0
ACS_Comb_Sci,0,0,0,0,0,0,0
ACS_Earth_Space_Chem,0,0,0,0,0,0,0
ACS_Energy_Lett,0,0,0,0,0,0,0
ACS_Infect_Dis,0,2,0,0,1,3,0
ACS_Macro_Lett,0,0,0,0,0,0,0
ACS_Med_Chem_Lett,0,0,0,0,0,0,0
ACS_Nano,0,0,0,0,1,9,0
ACS_Omega,0,0,0,0,1,16,0
ACS_Pharmacol_Transl_Sci,0,0,0,0,0,0,0
ACS_Photonics,0,0,0,0,0,0,0
ACS_Sens,0,0,0,0,0,1,0
ACS_Sustain_Chem_Eng,0,0,0,0,0,0,0
ACS_Synth_Biol,0,0,0,0,1,6,0
Acta_Acust_United_Acust,0,0,0,0,0,0,0
Acta_Agric,0,0,0,0,0,0,0
Acta_Anaesthesiol_Scand,0,0,0,0,0,0,0
Acta_Astronaut,0,0,0,0,0,0,0
Acta_Biochim_Biophys_Sin__Shanghai_,0,0,0,0,0,0,0
Acta_Biomater,0,0,0,0,0,2,0
Acta_Biomater_Odontol_Scand,0,0,0,0,0,0,0
Acta_Biomed,0,0,0,0,0,0,0
Acta_Biotheor,0,0,0,0,0,0,0
Acta_Cir_Bras,0,0,0,0,0,1,0
Acta_Clin_Croat,0,0,0,0,0,0,0
Acta_Crystallogr_A,0,0,0,0,0,0,0
Acta_Crystallogr_A_Found_Adv,0,0,0,0,0,0,0
Acta_Crystallogr_B,0,0,0,0,0,0,0
Acta_Crystallogr_B_Struct_Sci_Cryst_Eng_Mater,0,0,0,0,0,0,0
Acta_Crystallogr_C,0,0,0,0,0,0,0
Acta_Crystallogr_C_Struct_Chem,0,0,0,0,0,0,0
Acta_Crystallogr_D_Biol_Crystallogr,0,0,1,0,0,13,0
Acta_Crystallogr_D_Struct_Biol,0,0,0,0,0,3,0
Acta_Crystallogr_E_Crystallogr_Commun,0,0,0,0,0,0,0
Acta_Crystallogr_F_Struct_Biol_Commun,0,0,0,0,0,20,0
Acta_Crystallogr_Sect_E_Struct_Rep_Online,0,0,0,0,0,0,0
Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun,0,0,0,0,0,25,0
Acta_Derm_Venereol,0,0,0,0,0,0,0
Acta_Diabetol,0,0,0,0,0,0,1
Acta_Ethol,0,0,0,0,0,0,0
Acta_Histochem,0,0,0,0,0,0,0
Acta_Histochem_Cytochem,0,0,0,0,0,12,0
Acta_IMEKO__2012_,0,0,0,0,0,0,0
Acta_Inform,0,0,0,0,0,0,0
Acta_Inform_Med,0,0,0,0,0,0,0
Acta_Mater,0,0,0,0,0,0,0
Acta_Mech,0,0,0,0,0,0,0
Acta_Mech_Sin,0,0,0,0,0,0,0
Acta_Med_Litu,0,0,0,0,0,1,0
Acta_Med_Scand,0,0,0,0,0,0,0
Acta_Myol,0,0,0,0,0,0,0
Acta_Naturae,1,2,0,0,2,29,0
Acta_Neurochir__Wien_,0,0,0,0,0,0,0
Acta_Neurol_Belg,0,0,0,0,0,0,0
Acta_Neurol_Scand,0,0,0,0,0,0,0
Acta_Neuropathol,5,0,0,0,14,28,2
Acta_Neuropathol_Commun,8,0,0,0,38,48,1
Acta_Neuropsychiatr,0,0,0,0,0,0,0
Acta_Obstet_Gynecol_Scand,0,0,0,0,0,0,0
Acta_Odontol_Scand,0,0,0,0,0,0,0
Acta_Oncol,0,0,0,0,0,0,0
Acta_Ophthalmol,0,0,0,0,0,0,1
Acta_Orthop,0,0,0,0,0,5,0
Acta_Orthop_Traumatol_Turc,0,0,0,0,2,0,0
Acta_Ortop_Bras,0,0,0,0,0,1,0
Acta_Otolaryngol,0,0,0,0,0,0,0
Acta_Otorhinolaryngol_Ital,1,0,0,0,0,0,0
Acta_Paediatr,0,0,0,0,0,1,0
Acta_Palaeontol_Pol,0,0,0,0,0,0,0
Acta_Parasitol,0,0,0,0,0,0,0
Acta_Pharmacol_Sin,0,0,0,0,1,6,0
Acta_Pharm_Sin_B,0,4,1,0,2,16,0
Acta_Physiol__Oxf_,0,0,0,0,0,0,0
Acta_Physiol_Plant,0,0,0,0,0,0,0
Acta_Psychiatr_Scand,0,0,0,0,0,0,0
Acta_Psychol__Amst_,0,0,0,0,0,0,0
Acta_Radiol,0,0,0,0,0,0,0
Acta_Radiol_Open,0,0,0,0,0,0,0
Acta_Radiol_Short_Rep,0,0,0,0,0,0,0
Acta_Sociol,0,0,0,0,0,0,0
Acta_Stomatol_Croat,0,0,0,0,0,0,0
Acta_Theriol__Warsz_,0,0,0,0,0,0,0
Acta_Trop,0,0,0,0,0,1,0
Acta_Vet_Scand,0,1,1,0,1,15,0
Acta_Zool,0,0,0,0,0,0,0
Action_Learn,0,0,0,0,0,0,0
Acupunct_Med,0,0,0,0,0,0,0
Acute_Card_Care,0,0,0,0,0,0,0
Acute_Med_Surg,0,0,0,0,0,0,0
Adapt_Behav,0,0,0,0,0,0,0
Adapt_Human_Behav_Physiol,0,0,0,0,0,0,0
Addict_Behav,0,0,0,0,0,0,0
Addict_Behav_Rep,0,0,0,0,5,0,0
Addict_Biol,0,0,0,0,1,0,1
Addict_Disord_Their_Treat,0,0,0,0,0,0,0
Addict_Health,0,0,0,0,0,0,0
