pmc,repoIDcount
PMC2867830,1
PMC3013661,1
PMC4396786,12
PMC5142417,8
PMC4937301,2
PMC4450998,3
PMC5577775,7
PMC4674864,8
PMC5418765,7
PMC4383935,19
PMC3622629,1
PMC2824677,2
PMC5001599,10
PMC4053729,4
PMC2784327,1
PMC4643905,2
PMC4915045,10
PMC3371851,1
PMC3526318,1
PMC4304221,1
PMC5563063,6
PMC4441069,2
PMC5389087,1
PMC3148209,3
PMC3152357,4
PMC3148209,3
PMC3152357,4
PMC4197822,2
PMC4671222,1
PMC4538813,2
PMC5490196,1
PMC5520322,2
PMC5587753,3
PMC4074385,4
PMC4583175,3
PMC5395770,6
PMC3542080,1
PMC3998131,1
PMC4429496,2
PMC3245037,4
PMC3358658,1
PMC3413113,3
PMC3488205,1
PMC3965073,2
PMC3585383,3
PMC4227762,1
PMC4331710,25
PMC4702886,3
PMC4556696,4
PMC4955262,3
PMC4331710,25
PMC4666377,1
PMC3919575,1
PMC4341063,1
PMC3491369,7
PMC4195885,2
PMC4702886,3
PMC3446317,2
PMC4714477,7
PMC4333369,3
PMC4331710,25
PMC4583175,3
PMC5395770,6
PMC4414376,15
PMC3531187,4
PMC3965037,2
PMC4156652,3
PMC4708002,3
PMC4333248,2
PMC4652746,5
PMC4652904,5
PMC5374687,2
PMC3965037,2
PMC4538813,2
PMC5496257,9
PMC5496257,9
PMC4223161,1
PMC4262987,2
PMC4558774,6
PMC5488378,1
PMC4328970,3
PMC4413995,1
PMC4618149,4
PMC4574606,2
PMC5607848,1
PMC4795618,1
PMC4589466,2
PMC4715349,1
PMC5009668,1
PMC5135796,4
PMC5009736,2
PMC5025152,1
PMC5085092,1
PMC4073507,1
PMC4542784,3
PMC4581417,3
PMC5435966,6
PMC5577775,7
PMC4355351,1
PMC5496257,9
PMC4888531,1
PMC5036307,5
PMC4731918,2
PMC5036307,5
PMC4731918,2
PMC5036307,5
PMC2896157,3
PMC3534618,14
PMC4459677,9
PMC4545859,9
PMC4545859,9
PMC4545859,9
PMC4229885,1
PMC3592443,12
PMC3627565,5
PMC4248469,2
PMC5351550,2
PMC5382505,8
PMC4449525,2
PMC4005667,3
PMC4901439,6
PMC5625713,37
PMC5625713,37
PMC4053845,2
PMC4864936,4
PMC4699355,30
PMC4053845,2
PMC4864936,4
PMC5399794,11
PMC5482724,29
PMC5600148,1
PMC5359991,10
PMC5557537,3
PMC5482724,29
PMC5482724,29
PMC5482724,29
PMC5408799,1
PMC5572715,7
PMC5217437,2
PMC4511438,5
PMC4511438,5
PMC4511438,5
PMC4511438,5
PMC4687280,29
PMC4687280,29
PMC4687280,29
PMC4687280,29
PMC4687280,29
PMC4687280,29
PMC4687280,29
PMC4687280,29
PMC4687280,29
PMC4687280,29
PMC4687280,29
PMC4687280,29
PMC4687280,29
PMC4687280,29
PMC4687280,29
PMC4687280,29
PMC4687280,29
PMC4687280,29
PMC5399794,11
PMC3856593,3
PMC5399794,11
PMC3521385,8
PMC3413113,3
PMC3783187,11
PMC4603299,3
PMC4666360,3
PMC3783187,11
PMC4603299,3
PMC3783187,11
PMC4603299,3
PMC4408588,1
PMC4535825,1
PMC5588707,4
PMC3091736,3
PMC2647740,1
PMC2837036,7
PMC3002314,2
PMC4490614,5
PMC4303261,2
PMC4788919,1
PMC4882793,1
PMC4970803,2
PMC5449641,1
PMC2323223,33
PMC2543031,16
PMC5259837,8
PMC1913542,36
PMC1913542,36
PMC2629779,13
PMC1853114,1
PMC2648756,17
PMC1913542,36
PMC1808492,4
PMC3197658,2
PMC3500266,5
PMC2673422,6
PMC2910047,9
PMC3382436,17
PMC3599560,5
PMC3382436,17
PMC3599560,5
PMC1913542,36
PMC3382436,17
PMC2648756,17
PMC3382436,17
PMC2910047,9
PMC5259837,8
PMC2648756,17
PMC1913542,36
PMC2323223,33
PMC3382436,17
PMC2648756,17
PMC3051324,13
PMC3352041,1
PMC3382436,17
PMC2967746,6
PMC3276504,3
PMC4407080,1
PMC2967746,6
PMC3997969,10
PMC3856609,16
PMC1586028,14
PMC3382436,17
PMC3113587,7
PMC3113587,7
PMC3568067,2
PMC5259837,8
PMC2910047,9
PMC3315310,2
PMC3116899,11
PMC3014979,2
PMC3022631,11
PMC3022631,11
PMC3851836,1
PMC3091736,3
PMC3116899,11
PMC3382436,17
PMC3116899,11
PMC3382436,17
PMC3902919,4
PMC3382436,17
PMC548129,1
PMC3022631,11
PMC3403121,2
PMC1635568,3
PMC3024860,4
PMC4016313,1
PMC2889936,3
PMC2973961,2
PMC2877722,1
PMC3128037,1
PMC3113587,7
PMC3599560,5
PMC4992252,5
PMC4992252,5
PMC2582597,3
PMC3276504,3
PMC2967746,6
PMC2764428,5
PMC2653464,3
PMC3091509,1
PMC1913542,36
PMC2543031,16
PMC2366062,3
PMC3116899,11
PMC4489258,1
PMC2673422,6
PMC3022631,11
PMC3382436,17
PMC1586028,14
PMC2543031,16
PMC3051324,13
PMC5237319,20
PMC3737526,3
PMC5237319,20
PMC4331925,8
PMC3386155,5
PMC4196045,3
PMC3856609,16
PMC4992252,5
PMC5259837,8
PMC3997969,10
PMC5124285,3
PMC5259837,8
PMC2323223,33
PMC2743671,5
PMC2681066,9
PMC1586028,14
PMC2543031,16
PMC1544358,1
PMC1831790,1
PMC4804474,5
PMC1409797,2
PMC1913542,36
PMC2745391,4
PMC3400575,7
PMC3116899,11
PMC1913542,36
PMC2748098,3
PMC5259837,8
PMC2323223,33
PMC2734555,6
PMC3024865,3
PMC2875035,11
PMC3017616,1
PMC1913542,36
PMC1939716,1
PMC2238982,1
PMC1808492,4
PMC2391169,1
PMC2781748,2
PMC2734555,6
PMC2691001,2
PMC2677874,1
PMC3024865,3
PMC2875035,11
PMC2910047,9
PMC3038921,1
PMC3459874,1
PMC3616710,3
PMC4417305,1
PMC4552366,6
PMC2681066,9
