pmc_ID,date
PMC4522718,2014-10-19
PMC4754298,2016-02-15
PMC5143338,2016-12-07
PMC5503845,2017-07-10
PMC5801106,2018-02-07
PMC6609652,2019-07-04
PMC4476998,2015-04-22
PMC6045482,2018-03-30
PMC4220977,2014-10-29
PMC3347568,2010-12-31
PMC5406662,2017-12-31
PMC5662279,2017-12-31
PMC6209400,2018-12-31
PMC3893364,2013-05-09
PMC3893401,2013-07-09
PMC3893444,2013-05-29
PMC3893591,2013-07-11
PMC3928978,2014-01-24
PMC3938307,2014-02-18
PMC4167139,2014-09-04
PMC4382927,2015-04-03
PMC4438576,2015-05-21
PMC4683939,2015-12-18
PMC4882864,2016-05-27
PMC4940830,2016-07-11
PMC4940872,2016-07-11
PMC5127041,2016-11-28
PMC5223388,2017-01-10
PMC5345195,2017-03-10
PMC5408381,2017-04-27
PMC5828078,2018-02-27
PMC5992829,2018-06-07
PMC6022714,2018-06-28
PMC6027557,2018-07-02
PMC6031111,2018-07-04
PMC6038190,2018-07-10
PMC6045867,2018-07-13
PMC6062955,2018-07-26
PMC6083589,2018-08-09
PMC6123921,2018-09-05
PMC6190663,2018-10-16
PMC6223043,2018-11-08
PMC6278135,2018-12-04
PMC6357376,2019-01-31
PMC6362601,2019-02-05
PMC6376799,2019-02-14
PMC6398239,2019-03-04
PMC6419470,2019-03-15
PMC6448261,2019-04-03
PMC6456988,2019-04-10
PMC6482573,2019-04-25
PMC6485096,2019-04-25
PMC6540455,2019-05-29
PMC6545684,2019-06-03
PMC6545689,2019-06-03
PMC3207130,2011-10-09
PMC3316934,2011-11-23
PMC3377898,2012-02-07
PMC3535376,2012-11-13
PMC3690182,2013-06-12
PMC3789891,2013-08-18
PMC3825532,2013-09-05
PMC4102830,2014-03-13
PMC4503875,2015-06-19
PMC4911374,2016-03-12
PMC5390007,2017-01-12
PMC5663812,2017-08-29
PMC5773658,2017-11-17
PMC5978935,2018-01-24
PMC6426815,2019-02-13
PMC6426829,2019-01-20
PMC6289396,2018-06-21
PMC1868913,2007-04-27
PMC6182802,2018-10-11
PMC6591865,2019-06-24
PMC6251978,2018-06-30
PMC6327637,2019-01-02
PMC6541872,2018-10-26
PMC6541905,2018-10-24
PMC6543453,2018-11-23
PMC5573927,2016-02-12
PMC5947707,2017-08-02
PMC3774698,2013-07-10
PMC4496975,2014-10-30
PMC6152497,2018-04-25
PMC2775695,2008-12-24
PMC3364545,2012-05-22
PMC3449101,2012-09-13
PMC3502784,2012-11-04
PMC3600350,2013-02-27
PMC3610395,2013-03-13
PMC3809938,2013-10-09
PMC4009243,2014-04-15
PMC4698518,2015-12-20
PMC4698526,2015-12-20
PMC5896349,2018-03-29
PMC5520659,2017-02-23
PMC2778818,2009-08-27
PMC3395205,2012-07-01
PMC6023549,2017-11-10
PMC3977453,2014-03-20
PMC6288580,2018-11-27
PMC6369513,2019-01-27
PMC5514016,2016-06-04
PMC6325628,2018-11-20
PMC6364500,2018-12-11
PMC6468969,2019-02-10
PMC3265321,2011-07-24
PMC3275998,2010-12-31
PMC4870338,2016-05-04
PMC5867598,2018-03-12
PMC6354878,2018-12-31
PMC3234074,2011-09-01
PMC3745087,2013-06-25
PMC4711660,2016-01-13
PMC2926854,2010-04-13
PMC3528377,2011-09-09
PMC3636386,2012-05-04
PMC4082572,2014-05-02
PMC2806043,2009-07-17
PMC2815746,2009-10-23
PMC2871243,2010-03-29
PMC3006025,2010-11-15
PMC3227452,2011-09-25
PMC3229965,2011-10-26
PMC3292902,2012-01-29
PMC3292906,2012-01-31
PMC3371763,2012-04-18
PMC3651523,2013-04-29
PMC3796213,2013-07-27
PMC3824410,2013-06-16
PMC4012938,2014-03-31
PMC4032794,2014-04-06
PMC4069263,2014-05-14
PMC4153621,2014-07-12
PMC4247386,2014-10-31
PMC4247388,2014-10-31
PMC4276789,2014-11-30
PMC4298366,2014-12-22
PMC4350323,2015-01-09
PMC4350324,2015-01-15
PMC4356402,2015-01-14
PMC4359691,2014-01-08
PMC4359692,2015-01-11
PMC4359693,2015-02-04
PMC4394729,2015-03-07
PMC4429088,2015-04-05
PMC4468311,2015-05-11
PMC4468313,2015-05-15
PMC4468314,2015-05-15
PMC4586103,2015-08-29
PMC4694061,2015-11-04
PMC4694064,2015-11-11
PMC4712326,2015-11-18
PMC4789581,2016-02-07
PMC4789582,2016-02-08
PMC4789590,2016-02-25
PMC4833139,2016-02-16
PMC4925824,2016-03-24
PMC4931843,2016-04-09
PMC4931845,2016-04-25
PMC4931852,2016-05-31
PMC4993344,2016-07-27
PMC5032697,2016-08-19
PMC5076446,2016-09-06
PMC5076448,2016-09-12
PMC5076455,2016-09-24
PMC5076457,2016-09-27
PMC5076460,2016-09-29
PMC5115891,2016-10-06
PMC5115905,2016-10-24
PMC5182073,2016-11-19
PMC5191876,2016-11-14
PMC5270657,2016-12-28
PMC5310654,2016-10-13
PMC5425122,2017-04-27
PMC5509456,2017-06-27
PMC5611983,2017-08-02
PMC5680560,2017-10-28
PMC5723692,2017-11-19
PMC5723694,2017-11-22
PMC5764393,2017-12-12
PMC5764397,2017-12-22
PMC5764399,2017-12-26
PMC5940125,2018-04-18
PMC5940131,2018-04-29
PMC5990381,2018-05-16
PMC5990383,2018-05-12
PMC5990389,2018-05-18
PMC5990393,2018-05-20
PMC5990398,2018-05-19
PMC6046225,2018-06-24
PMC6046234,2018-06-19
PMC6046245,2018-06-17
PMC6046250,2018-06-13
PMC6075433,2018-07-13
PMC6075434,2018-07-26
PMC6075446,2018-07-18
PMC6128423,2018-08-17
PMC6188476,2018-09-11
PMC6188480,2018-09-21
PMC6224226,2018-10-21
PMC6224230,2018-10-11
PMC6224233,2018-10-20
PMC6286819,2018-11-28
PMC6286821,2018-11-27
PMC6286825,2018-11-16
PMC6326652,2018-12-10
PMC6326654,2018-12-10
PMC6326659,2018-12-11
PMC6326667,2018-12-13
PMC6326685,2018-12-08
PMC6326687,2018-12-12
PMC6339782,2019-01-13
PMC6339791,2019-01-14
PMC6339794,2019-01-10
PMC6339804,2019-01-11
PMC6366968,2019-01-26
PMC6366972,2019-01-16
PMC6366982,2019-01-19
PMC6382432,2019-02-01
PMC6402518,2019-02-20
PMC6402525,2019-02-21
PMC6402526,2019-02-17
PMC6428103,2019-03-07
PMC6428108,2019-03-04
PMC6461164,2019-03-29
PMC6461170,2019-03-29
PMC6461172,2019-03-26
PMC6503873,2019-04-15
PMC6520004,2019-04-29
PMC6520006,2019-04-19
PMC6520014,2019-04-19
PMC6535055,2019-05-06
PMC6535056,2019-05-06
PMC6535063,2019-05-08
PMC6555456,2019-05-30
PMC6555462,2019-05-24
PMC6555468,2019-05-17
PMC6555469,2019-05-28
PMC6594799,2019-06-10
PMC6628988,2019-06-20
PMC6628992,2019-06-16
PMC6628997,2019-06-24
PMC6628998,2019-06-21
PMC6629000,2019-06-13
PMC2339763,2008-04-01
PMC2759984,2009-06-30
PMC2814091,2010-02-28
PMC3470704,2012-10-31
PMC3709120,2013-05-06
PMC3709138,2013-03-27
PMC3907112,2013-11-19
PMC3954952,2013-12-02
PMC3989927,2013-12-05
PMC4068027,2013-09-11
PMC4172519,2014-06-16
PMC4326857,2013-10-22
PMC4326894,2014-03-04
PMC4326923,2014-07-25
PMC4326946,2014-03-21
PMC4364833,2014-12-25
PMC4364839,2015-02-05
PMC4406662,2015-02-25
PMC4406664,2015-02-09
PMC4406671,2015-02-27
PMC4406673,2015-03-06
PMC4406675,2015-02-26
PMC4406678,2015-02-09
PMC4531078,2015-04-22
PMC4531082,2015-05-25
PMC4568969,2015-06-24
PMC4717264,2015-11-17
PMC4783335,2015-12-21
PMC4783339,2015-12-16
PMC4783348,2016-01-22
PMC4783355,2016-01-13
PMC4854919,2016-03-17
PMC4933671,2016-04-08
PMC5013028,2016-06-21
PMC5114719,2016-09-01
PMC5242294,2016-10-26
PMC5334526,2016-12-27
PMC5506417,2017-05-31
PMC5506430,2017-05-30
PMC5506434,2017-05-26
PMC5676066,2017-10-10
PMC5676067,2017-10-02
PMC5770853,2017-10-12
PMC5771393,2017-11-26
PMC5847858,2018-01-21
PMC5847878,2017-12-21
PMC5847883,2018-02-07
PMC5946061,2018-02-27
PMC5946062,2018-03-05
PMC5946071,2018-03-25
PMC5946077,2018-03-05
PMC5946080,2018-02-28
PMC6052391,2018-06-25
PMC6052399,2018-05-24
PMC6052403,2018-04-28
PMC6052463,2018-04-19
PMC6156499,2018-08-09
PMC6156539,2018-07-12
PMC6260908,2018-10-02
PMC6260915,2018-10-11
PMC6260920,2018-10-08
PMC6351822,2018-12-20
PMC6351827,2018-11-28
PMC6351841,2018-11-28
PMC6413656,2019-01-14
PMC6413657,2019-01-06
PMC6413659,2019-01-15
PMC6516157,2019-02-17
PMC6516162,2019-03-13
PMC6516163,2019-03-27
PMC6516184,2019-03-07
PMC4237920,2014-05-07
PMC5291006,2017-02-01
PMC6147595,2018-10-01
PMC3481055,2012-05-30
PMC5687512,2017-09-04
PMC6604929,2018-03-20
PMC6604942,2018-06-07
PMC6604949,2018-06-11
PMC6604993,2017-05-31
PMC6613336,2018-10-25
PMC5348566,2016-08-26
PMC1852316,2007-03-30
PMC2543012,2008-08-29
PMC2679019,2009-04-22
PMC2785812,2009-11-16
PMC2949600,2010-09-20
PMC3189100,2011-09-22
PMC3219593,2011-10-11
PMC3340326,2012-01-15
PMC3371767,2012-01-16
PMC3512512,2012-08-16
PMC3526407,2012-11-02
PMC3848682,2013-09-16
PMC3974045,2014-02-24
PMC3977952,2014-03-10
PMC4331138,2015-01-28
PMC4363181,2015-03-04
PMC4483228,2015-06-27
PMC4495944,2015-07-08
PMC4688996,2015-12-23
PMC4696214,2015-12-30
PMC4855726,2016-05-03
PMC5322684,2017-02-22
PMC6408864,2019-03-08
PMC6425630,2019-03-20
PMC5765501,2017-10-20
PMC4078401,2014-06-24
PMC4329332,2014-09-06
PMC4879649,2016-04-12
PMC6352316,2019-01-22
PMC6438205,2018-03-15
PMC3706879,2013-05-14
PMC3707052,2013-04-18
PMC4255636,2014-11-02
PMC4731966,2016-01-28
PMC5513091,2017-07-14
PMC5819208,2018-02-20
PMC6015462,2018-06-23
PMC3214799,2011-10-22
PMC3226434,2011-11-18
PMC3366876,2012-03-27
PMC3539857,2012-11-20
PMC3922913,2013-10-26
PMC4052852,2014-03-18
PMC4105880,2014-07-22
PMC4143573,2014-08-23
PMC4467806,2015-06-11
PMC4713403,2016-01-14
PMC4755957,2016-02-17
PMC4908081,2016-06-14
PMC4970986,2016-08-02
PMC4970999,2016-08-02
PMC5025419,2016-09-15
PMC5061668,2016-10-13
PMC5074941,2016-10-21
PMC5101243,2016-11-08
PMC5104702,2016-11-10
PMC5209307,2017-01-03
PMC5209320,2017-01-03
PMC5307404,2017-02-13
PMC5309192,2017-02-14
PMC5311017,2017-02-15
PMC5328902,2017-02-28
PMC5380569,2017-04-04
PMC5392452,2017-04-17
PMC5393979,2017-04-17
PMC5427061,2017-05-12
PMC5457379,2017-06-02
PMC5483214,2017-06-24
PMC5503847,2017-07-10
PMC5503848,2017-07-10
PMC5583138,2017-09-05
PMC5603465,2017-09-18
PMC5668215,2017-11-02
PMC5700909,2017-11-23
PMC5701898,2017-11-25
PMC5738328,2017-12-20
PMC5758488,2018-01-08
PMC5758489,2018-01-08
PMC5815975,2018-02-16
PMC5826908,2018-02-27
PMC5833890,2018-02-28
PMC5842170,2018-03-07
PMC5849708,2018-03-13
PMC5859003,2018-03-19
PMC5899966,2018-04-16
PMC5904092,2018-04-17
PMC5906409,2018-04-18
PMC5910442,2018-04-20
PMC5924506,2018-04-27
PMC5936483,2018-05-05
PMC5943202,2018-05-09
PMC5957016,2018-05-17
PMC5984615,2018-06-01
PMC5997608,2018-06-12
PMC6004267,2018-06-16
PMC6047955,2018-07-16
PMC6051950,2018-07-18
PMC6072643,2018-08-02
