pmc_ID,accession
PMC3707052,GSM1
PMC3706879,GSE45534
PMC3706879,GSE45534
PMC3706879,GSE45534
PMC3706879,GSE45534
PMC4255636,GSE5281
PMC4731966,GSE67036
PMC4731966,GSE1297
PMC4731966,GSE48350
PMC4731966,GSE36980
PMC4731966,GSE12679
PMC4731966,GSE12293
PMC4731966,GSE1297
PMC4731966,GSE48350
PMC4731966,GSE36980
PMC4731966,GSE12679
PMC4731966,GSE12293
PMC4731966,GSE46871
PMC4731966,GSE36980
PMC4731966,GSE36980
PMC4731966,GSE46871
PMC4731966,GSE48350
PMC4731966,GSE48350
PMC4731966,GSE48350
PMC4731966,GSE48350
PMC4731966,GSE48350
PMC4731966,GSE36980
PMC4731966,GSE12293
PMC4731966,GSE12679
PMC4731966,GSE12293
PMC4731966,GSE12679
PMC4731966,GSE12293
PMC4731966,GSE12679
PMC4731966,GSE48350
PMC4731966,GSE1297
PMC4731966,GSE12293
PMC4731966,GSE12293
PMC4731966,GSE12293
PMC4731966,GSE12679
PMC4731966,GSE12293
PMC4731966,GSE12679
PMC5513091,GSE93678
PMC5819208,GSE44772
PMC5819208,GSE44771
PMC5819208,GSE44772
PMC6015462,GSE60862
PMC6015462,GSE5281
PMC6015462,GSE29378
PMC6015462,GSE36980
PMC6015462,GSE48350
PMC6015462,GSE60862
PMC6015462,GSE5281
PMC6015462,GSE29378
PMC6015462,GSE36980
PMC6015462,GSE48350
PMC6015462,GSE60862
PMC6015462,GSE60862
PMC6015462,GSE60862
PMC6015462,GSE5281
PMC6015462,GSE29378
PMC6015462,GSE36980
PMC6015462,GSE48350
PMC6015462,GSE5281
PMC6015462,GSE29378
PMC6015462,GSE36980
PMC6015462,GSE48350
PMC6015462,GSE9566
PMC6015462,GSE60862
PMC6015462,GSE5281
PMC6015462,GSE29378
PMC6015462,GSE36980
PMC6015462,GSE48350
PMC6015462,GSE5281
PMC6015462,GSE29378
PMC6015462,GSE36980
PMC6015462,GSE48350
PMC6015462,GSE9566
PMC2928186,GSE2361
PMC2928186,GSE952
PMC2928186,GSE2361
PMC2928186,GSE952
PMC1500996,GPL4
PMC1634740,GDS422
PMC1634740,GDS596
PMC1634740,GDS181
PMC1634740,GSM763
PMC1634740,GSM676
PMC1634740,GSM761
PMC1634740,GSM695
PMC1634740,GSM786
PMC1634740,GSM1499
PMC1634740,GSM708
PMC1634740,GSM785
PMC1634740,GSM762
PMC1634740,GSM719
PMC1634740,GSM721
PMC1634740,GSM716
PMC1634740,GSM14750
PMC1634740,GSM14749
PMC1634740,GSM764
PMC1634740,GSM685
PMC1634740,GSM739
PMC1634740,GSM14752
PMC1634740,GSM2386
PMC1634740,GSM713
PMC1634740,GDS422
PMC1634740,GDS181
PMC1634740,GDS596
PMC1634740,GDS422
PMC1634740,GDS181
PMC1634740,GDS596
PMC1634740,GDS422
PMC1634740,GDS181
PMC1634740,GDS596
PMC1634740,GDS596
PMC1634740,GDS181
PMC1634740,GDS422
PMC1634740,GDS596
PMC1634740,GDS422
PMC1634740,GDS181
PMC1634740,GDS422
PMC1634740,GDS181
PMC1634740,GDS596
PMC1634740,GDS596
PMC1634740,GDS181
PMC1634740,GDS422
PMC1634740,GDS596
PMC1634740,GDS596
PMC1634740,GDS596
PMC1634740,GPL4
PMC1634740,GPL6
PMC1634740,GDS596
PMC1634740,GDS594
PMC1634740,GDS181
PMC1634740,GSM764
PMC1634740,GSM14750
PMC2453111,GSE5095
PMC2453111,GSE6969
PMC2794262,GPL2025
PMC2794262,GPL2025
PMC5168849,GSE47792
PMC3201895,GSM487450
PMC3201895,GSM487448
PMC3201895,GSM487453
PMC3201895,GSM487448
PMC3201895,GSM487450
PMC3201895,GSM487450
PMC3201895,GSM487448
PMC3201895,GSM487450
PMC3201895,GSM487448
PMC3201895,GSM487453
PMC2211459,GSE3798
PMC3120802,GSE243371
PMC2762993,GSE5086
PMC2883972,GSE12974
PMC2883972,GSE12974
PMC5041498,GSE43580
PMC5041498,GSE10245
PMC5041498,GSE18842
PMC5041498,GSE2109
PMC5041498,GSE43580
PMC5041498,GSE43580
PMC5041498,GSE21942
