journalName,PMC_ID,date
3_Biotech,PMC3339604,2011
3_Biotech,PMC3339611,2011
3_Biotech,PMC3339612,2011
3_Biotech,PMC3433879,2012
3_Biotech,PMC3909576,2013
3_Biotech,PMC4145622,2013
3_Biotech,PMC4145625,2013
3_Biotech,PMC4145627,2013
3_Biotech,PMC4162900,2013
3_Biotech,PMC4327755,2014
3_Biotech,PMC4434413,2014
3_Biotech,PMC4522718,2014
3_Biotech,PMC4569614,2015
3_Biotech,PMC4624151,2015
3_Biotech,PMC4701705,2016
3_Biotech,PMC4705057,2016
3_Biotech,PMC4713398,2016
3_Biotech,PMC4746201,2016
3_Biotech,PMC4752947,2016
3_Biotech,PMC4754293,2016
3_Biotech,PMC4754298,2016
3_Biotech,PMC4909029,2016
3_Biotech,PMC4951381,2016
3_Biotech,PMC5065882,2016
3_Biotech,PMC5095100,2016
3_Biotech,PMC5114211,2016
3_Biotech,PMC5143338,2016
3_Biotech,PMC5388651,2017
3_Biotech,PMC5388652,2017
3_Biotech,PMC5503845,2017
3_Biotech,PMC5801106,2018
3_Biotech,PMC6609652,2019
3D_Print_Med,PMC6036767,2016
AAPS_J,PMC4476998,2015
AAPS_J,PMC4779111,2016
Acad_Pathol,PMC5497908,2017
Acad_Pathol,PMC6537274,2019
Acc_Chem_Res,PMC3994614,2014
ACS_Appl_Mater_Interfaces,PMC4134142,2014
ACS_Appl_Mater_Interfaces,PMC4296922,2014
ACS_Biomater_Sci_Eng,PMC6150649,2018
ACS_Cent_Sci,PMC4827660,2016
ACS_Cent_Sci,PMC5324081,2017
ACS_Chem_Biol,PMC3500442,2012
ACS_Chem_Biol,PMC3780468,2013
ACS_Chem_Biol,PMC4076013,2014
ACS_Chem_Biol,PMC4076040,2014
ACS_Chem_Biol,PMC4168780,2014
ACS_Chem_Biol,PMC4168783,2014
ACS_Chem_Biol,PMC4245161,2014
ACS_Chem_Biol,PMC4340354,2014
ACS_Chem_Biol,PMC4437617,2014
ACS_Chem_Biol,PMC4994060,2016
ACS_Chem_Biol,PMC5653948,2017
ACS_Chem_Biol,PMC5820652,2017
ACS_Chem_Biol,PMC5914477,2018
ACS_Chem_Neurosci,PMC4759616,2015
ACS_Infect_Dis,PMC5109296,2016
ACS_Infect_Dis,PMC5514395,2017
ACS_Infect_Dis,PMC5594445,2017
ACS_Infect_Dis,PMC5952258,2018
ACS_Infect_Dis,PMC6332449,2018
ACS_Infect_Dis,PMC6412501,2018
ACS_Nano,PMC2731514,2009
ACS_Nano,PMC2828182,2009
ACS_Nano,PMC4004294,2014
ACS_Nano,PMC4076024,2014
ACS_Nano,PMC4344373,2015
ACS_Nano,PMC4446724,2015
ACS_Nano,PMC4660391,2015
ACS_Nano,PMC5121927,2016
ACS_Nano,PMC6114841,2018
ACS_Nano,PMC6262474,2018
ACS_Omega,PMC5537716,2017
ACS_Omega,PMC5830693,2018
ACS_Omega,PMC6044506,2018
ACS_Omega,PMC6044628,2018
ACS_Omega,PMC6044645,2017
ACS_Omega,PMC6044692,2018
ACS_Omega,PMC6044713,2016
ACS_Omega,PMC6044767,2017
ACS_Omega,PMC6044781,2017
ACS_Omega,PMC6044933,2017
ACS_Omega,PMC6045339,2018
ACS_Omega,PMC6045395,2018
ACS_Omega,PMC6045482,2018
ACS_Omega,PMC6130897,2018
ACS_Omega,PMC6173500,2018
ACS_Omega,PMC6217659,2018
ACS_Omega,PMC6441946,2019
ACS_Sens,PMC6167724,2018
ACS_Synth_Biol,PMC4277766,2014
ACS_Synth_Biol,PMC4277778,2014
ACS_Synth_Biol,PMC4304438,2014
ACS_Synth_Biol,PMC4475448,2014
ACS_Synth_Biol,PMC5525101,2017
ACS_Synth_Biol,PMC5778391,2017
ACS_Synth_Biol,PMC5951608,2018
Acta_Biochim_Biophys_Sin_(Shanghai),PMC6460344,2019
Acta_Biomater,PMC3594746,2013
Acta_Biomater,PMC3991416,2014
Acta_Cir_Bras,PMC6583919,2019
Acta_Crystallogr_D_Biol_Crystallogr,PMC2917274,2010
Acta_Crystallogr_D_Biol_Crystallogr,PMC3225178,2011
Acta_Crystallogr_D_Biol_Crystallogr,PMC3413214,2012
Acta_Crystallogr_D_Biol_Crystallogr,PMC3727330,2013
Acta_Crystallogr_D_Biol_Crystallogr,PMC3792640,2013
Acta_Crystallogr_D_Biol_Crystallogr,PMC3949517,2014
Acta_Crystallogr_D_Biol_Crystallogr,PMC3975887,2014
Acta_Crystallogr_D_Biol_Crystallogr,PMC4014127,2014
Acta_Crystallogr_D_Biol_Crystallogr,PMC4051503,2014
Acta_Crystallogr_D_Biol_Crystallogr,PMC4118825,2014
Acta_Crystallogr_D_Biol_Crystallogr,PMC4220977,2014
Acta_Crystallogr_D_Biol_Crystallogr,PMC4321491,2015
Acta_Crystallogr_D_Biol_Crystallogr,PMC4356369,2015
Acta_Crystallogr_D_Biol_Crystallogr,PMC4498601,2015
Acta_Crystallogr_D_Struct_Biol,PMC5713876,2017
Acta_Crystallogr_D_Struct_Biol,PMC5786005,2018
Acta_Crystallogr_D_Struct_Biol,PMC5930347,2018
Acta_Crystallogr_F_Struct_Biol_Commun,PMC4157418,2014
Acta_Crystallogr_F_Struct_Biol_Commun,PMC4157426,2014
Acta_Crystallogr_F_Struct_Biol_Commun,PMC4388180,2015
Acta_Crystallogr_F_Struct_Biol_Commun,PMC4528949,2015
Acta_Crystallogr_F_Struct_Biol_Commun,PMC4555919,2015
Acta_Crystallogr_F_Struct_Biol_Commun,PMC4555920,2015
Acta_Crystallogr_F_Struct_Biol_Commun,PMC4601594,2015
Acta_Crystallogr_F_Struct_Biol_Commun,PMC4774884,2016
Acta_Crystallogr_F_Struct_Biol_Commun,PMC4909244,2016
Acta_Crystallogr_F_Struct_Biol_Commun,PMC4973301,2016
Acta_Crystallogr_F_Struct_Biol_Commun,PMC5012210,2016
Acta_Crystallogr_F_Struct_Biol_Commun,PMC5137463,2016
Acta_Crystallogr_F_Struct_Biol_Commun,PMC5297931,2017
Acta_Crystallogr_F_Struct_Biol_Commun,PMC5349311,2017
Acta_Crystallogr_F_Struct_Biol_Commun,PMC5544008,2017
Acta_Crystallogr_F_Struct_Biol_Commun,PMC5931145,2018
Acta_Crystallogr_F_Struct_Biol_Commun,PMC5947683,2018
Acta_Crystallogr_F_Struct_Biol_Commun,PMC6130421,2018
Acta_Crystallogr_F_Struct_Biol_Commun,PMC6130423,2018
Acta_Crystallogr_F_Struct_Biol_Commun,PMC6572100,2019
Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun,PMC2225210,2006
Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun,PMC2242859,2006
Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun,PMC2243092,2006
Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun,PMC2243107,2006
Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun,PMC2335013,2007
Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun,PMC2374154,2008
Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun,PMC2531273,2008
Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun,PMC2650451,2009
Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun,PMC2650471,2009
Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun,PMC2802877,2009
Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun,PMC2954199,2009
Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun,PMC2954208,2010
Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun,PMC2954212,2009
Acta_Crystallogr_Sect_F_Struct_Biol_Cryst_Commun,PMC2954218,2010
