journalName,orig,reuse
3_Biotech,11,16
AAPS_J,1,0
ACS_Cent_Sci,1,1
ACS_Chem_Biol,5,1
ACS_Infect_Dis,3,0
ACS_Nano,1,0
ACS_Omega,1,0
ACS_Synth_Biol,1,0
Acta_Crystallogr_D_Biol_Crystallogr,1,0
Acta_Naturae,29,0
Acta_Neuropathol,15,13
Acta_Neuropathol_Commun,65,54
Acta_Orthop_Traumatol_Turc,1,3
Acta_Otorhinolaryngol_Ital,0,1
Acta_Pharmacol_Sin,0,1
Acta_Pharm_Sin_B,5,9
Acta_Vet_Scand,4,0
Addict_Behav_Rep,0,5
Addict_Biol,1,1
Addiction,1,0
Addict_Sci_Clin_Pract,0,2
Adipocyte,7,1
Adv_Appl_Bioinforma_Chem,5,2
Adv_Appl_Bioinform_Chem,0,1
Adv_Bioinformatics,19,14
Adv_Biomed_Res,0,1
Adv_Hematol,2,0
Adv_Mod_Oncol_Res,0,21
Adv_Pediatr_Res,1,0
Adv_Pharmacol_Sci,3,0
Adv_Prev_Med,2,1
Adv_Radiat_Oncol,1,0
Adv_Sci__Weinh_,2,1
Adv_Urol,1,3
Adv_Virol,1,4
Afr_Health_Sci,1,0
Afr_J_Lab_Med,16,3
Afr_J_Prim_Health_Care_Fam_Med,1,0
Age_Ageing,1,4
Age__Dordr_,6,0
Aging__Albany_NY_,141,211
Aging_Cell,110,41
Aging_Clin_Exp_Res,0,2
Aging_Dis,0,3
AIDS,0,2
AIDS_Behav,1,6
AIDS_Res_Ther,1,0
AIDS_Res_Treat,0,3
AIMS_Microbiol,6,1
Air_Qual_Atmos_Health,1,0
Algorithms_Mol_Biol,57,27
Aliment_Pharmacol_Ther,1,0
Allergy,1,0
Allergy_Asthma_Clin_Immunol,0,1
Allergy_Asthma_Immunol_Res,2,2
Alzheimers_Dement,0,1
Alzheimers_Dement__Amst_,1,0
Alzheimers_Dement__N_Y_,0,2
Alzheimers_Res_Ther,10,39
AMB_Express,142,5
Ambio,1,0
AMIA_Jt_Summits_Transl_Sci_Proc,6,28
Am_J_Clin_Nutr,3,0
Am_J_Clin_Pathol,1,0
Am_J_Epidemiol,0,1
Am_J_Hum_Genet,6,2
Am_J_Pathol,3,0
Am_J_Phys_Anthropol,2,0
Am_J_Physiol_Cell_Physiol,1,0
Am_J_Physiol_Endocrinol_Metab,2,5
Am_J_Physiol_Gastrointest_Liver_Physiol,2,0
Am_J_Physiol_Lung_Cell_Mol_Physiol,1,0
Am_J_Physiol_Regul_Integr_Comp_Physiol,1,0
Am_J_Physiol_Renal_Physiol,1,0
Am_J_Transplant,3,1
Am_J_Trop_Med_Hyg,7,1
Anal_Bioanal_Chem,27,0
Anal_Cell_Pathol__Amst_,5,15
Anal_Chem,5,0
Anal_Chem_Insights,0,1
Anat_Cell_Biol,1,0
Andrology,0,1
Angiogenesis,25,6
Animal_Model_Exp_Med,0,1
Animals__Basel_,45,3
Anim_Cells_Syst__Seoul_,2,2
Anim_Genet,16,2
Anim_Nutr,2,1
Ann_Bot,32,2
Ann_Clin_Microbiol_Antimicrob,2,0
Ann_Clin_Transl_Neurol,4,5
Ann_Gastroenterol,0,1
Ann_Gen_Hosp_Psychiatry,4,0
Ann_Gen_Psychiatry,3,7
Ann_Hematol,1,0
Ann_Intensive_Care,0,1
Ann_Lab_Med,1,0
Ann_Med,5,1
Ann_Neurol,2,3
Ann_Nucl_Med,1,0
Ann_Oncol,5,10
Ann_Rheum_Dis,10,3
Ann_Surg_Oncol,1,1
Ann_Surg_Treat_Res,1,0
Antibiotics__Basel_,11,1
Anticancer_Drugs,0,5
Antimicrob_Agents_Chemother,76,2
Antimicrob_Resist_Infect_Control,7,2
Antioxidants__Basel_,1,6
Antioxid_Redox_Signal,5,1
Antonie_Van_Leeuwenhoek,10,1
AoB_Plants,7,6
APL_Bioeng,3,3
Apoptosis,1,0
Appl_Biochem_Biotechnol,1,0
Appl_Econ,3,12
Appl_Environ_Microbiol,437,22
Appl_Immunohistochem_Mol_Morphol,1,0
Appl_Microbiol_Biotechnol,76,2
Appl_Netw_Sci,0,1
Appl_Plant_Sci,237,14
Appl_Transl_Genom,4,0
Archaea,22,3
Arch_Biochem_Biophys,1,0
Arch_Dermatol_Res,1,0
Arch_Med_Sci,6,5
Arch_Microbiol,1,0
Arch_Osteoporos,0,1
Arch_Toxicol,18,44
Arch_Virol,8,1
Arterioscler_Thromb_Vasc_Biol,3,1
Arthritis_Res_Ther,102,45
Arthritis_Rheum,1,1
Arthritis_Rheumatol,18,3
Asian-Australas_J_Anim_Sci,37,10
Asian_J_Androl,3,1
Asian_J_Urol,1,0
Asian_Pac_J_Cancer_Prev,0,11
ASN_Neuro,7,2
Atherosclerosis,1,0
Autophagy,9,14
Avicenna_J_Med_Biotechnol,1,3
Bacteriophage,5,0
Balkan_J_Med_Genet,7,4
Basic_Clin_Androl,0,1
Basic_Clin_Pharmacol_Toxicol,0,3
Basic_Res_Cardiol,2,1
BBA_Clin,1,1
Behav_Brain_Funct,7,7
Behav_Brain_Res,1,0
Behav_Ecol_Sociobiol,0,1
Behav_Neurol,0,2
Behav_Res_Methods,0,1
Behav_Sci__Basel_,1,1
Beilstein_J_Nanotechnol,16,13
Beilstein_J_Org_Chem,2,0
Big_Data,0,1
Biochem_Biophys_Rep,11,4
Biochem_Biophys_Res_Commun,1,5
Biochem_Genet,2,0
Biochem_Insights,1,0
Biochemistry,2,2
Biochem_J,9,5
Biochem_Pharmacol,0,1
Biochem_Res_Int,0,2
Biochim_Biophys_Acta,3,1
Biochim_Biophys_Acta_Gene_Regul_Mech,1,0
Biochimie,9,0
Biochim_Open,1,0
BioData_Min,34,90
Biodegradation,1,0
Biodivers_Data_J,3,1
Bioengineered,3,2
Bioengineering__Basel_,1,0
Bioeng_Transl_Med,3,0
Biofouling,1,0
Biogerontology,1,2
Bioimpacts,0,6
Bioinformatics,377,225
Bioinformation,40,47
Bioinform_Biol_Insights,92,26
Biol_Bull,1,0
Biol_Cell,0,1
Biol_Direct,93,65
Biol_Invasions,1,0
Biol_Lett,2,0
Biology__Basel_,28,9
Biol_Open,87,19
Biol_Proced_Online,4,4
Biol_Psychiatry,1,2
Biol_Reprod,24,4
Biol_Res,17,20
Biol_Sex_Differ,35,7
Biol_Sport,1,0
Biomark_Cancer,3,3
Biomark_Insights,7,10
Biomark_Res,9,21
Biomed_Eng_Online,1,11
Biomed_Genet_Genom,1,0
Biomedicines,3,5
Biomed_Inform_Insights,1,1
Biomed_Opt_Express,0,2
Biomed_Rep,3,6
Biomed_Res_Int,398,467
Biometals,0,1
Biometrika,0,1
Biomol_Detect_Quantif,4,0
Biomolecules,44,19
Biomol_Ther__Seoul_,0,6
Biophys_Rep,1,0
Biophys_Rev,9,3
Bio_Protoc,12,3
Biopsychosoc_Med,0,1
Biores_Open_Access,1,0
Bioresour_Bioprocess,3,0
Biosci_Microbiota_Food_Health,14,2
Biosci_Rep,39,132
Biostatistics,2,2
Biotechnol_Bioeng,9,1
Biotechnol_Biofuels,363,49
Biotechnol_Biotechnol_Equip,1,1
Biotechnol_Lett,1,0
Biotechnol_Prog,0,1
Biotechnol_Rep__Amst_,10,1
Birth_Defects_Res_A_Clin_Mol_Teratol,0,1
BIT_Numer_Math,1,0
BJU_Int,1,2
Bladder_Cancer,1,5
Blood_Cancer_J,32,68
BMB_Rep,15,18
BMC_Anesthesiol,0,2
BMC_Biochem,3,2
BMC_Bioinformatics,2073,1788
BMC_Biol,258,42
BMC_Biophys,0,1
BMC_Biotechnol,45,10
BMC_Cancer,483,774
BMC_Cardiovasc_Disord,5,10
BMC_Cell_Biol,25,4
BMC_Clin_Pathol,2,1
BMC_Complement_Altern_Med,19,6
BMC_Dermatol,1,1
BMC_Dev_Biol,77,5
BMC_Ear_Nose_Throat_Disord,2,0
BMC_Ecol,12,2
BMC_Emerg_Med,1,0
BMC_Endocr_Disord,5,1
BMC_Evol_Biol,576,92
BMC_Fam_Pract,11,11
BMC_Gastroenterol,10,2
BMC_Genet,147,55
BMC_Genomics,9977,2453
BMC_Geriatr,56,84
BMC_Health_Serv_Res,16,28
BMC_Hematol,0,4
BMC_Immunol,43,16
BMC_Infect_Dis,117,15
BMC_Int_Health_Hum_Rights,0,1
BMC_Med,31,31
BMC_Med_Educ,0,1
BMC_Med_Ethics,2,1
BMC_Med_Genet,46,60
BMC_Med_Genomics,469,612
BMC_Med_Imaging,0,1
BMC_Med_Inform_Decis_Mak,2,11
BMC_Med_Res_Methodol,1,7
BMC_Microbiol,542,63
BMC_Mol_Biol,60,7
BMC_Mol_Cell_Biol,1,1
BMC_Musculoskelet_Disord,13,9
BMC_Nephrol,14,10
BMC_Neurol,26,36
BMC_Neurosci,46,19
BMC_Nurs,4,4
BMC_Obes,1,1
BMC_Ophthalmol,6,6
BMC_Oral_Health,5,5
BMC_Palliat_Care,0,4
BMC_Pediatr,2,2
BMC_Pharmacol,1,0
BMC_Pharmacol_Toxicol,3,2
BMC_Physiol,21,11
BMC_Plant_Biol,1104,338
BMC_Pregnancy_Childbirth,4,0
BMC_Proc,6,4
BMC_Psychiatry,22,33
BMC_Psychol,0,4
BMC_Public_Health,17,38
BMC_Pulm_Med,12,13
BMC_Res_Notes,365,154
BMC_Struct_Biol,2,1
BMC_Syst_Biol,356,331
BMC_Urol,7,13
BMC_Vet_Res,66,14
BMC_Womens_Health,1,5
BMJ,0,4
BMJ_Open,25,49
BMJ_Open_Diabetes_Res_Care,0,1
BMJ_Open_Gastroenterol,5,2
BMJ_Open_Respir_Res,2,1
BMJ_Paediatr_Open,1,0
Bone,0,2
Bone_Joint_Res,3,24
Bone_Rep,2,1
Bone_Res,2,3
Bot_Stud,21,6
Brain,13,4
Brain_Behav,5,10
Brain_Behav_Immun,1,1
Brain_Imaging_Behav,0,1
Brain_Sci,5,8
Brain_Struct_Funct,4,1
Braz_J_Med_Biol_Res,4,20
Braz_J_Microbiol,31,0
Breast_Cancer__Auckl_,1,3
Breast_Cancer__Dove_Med_Press_,5,8
Breast_Cancer_Res,266,429
Breast_Cancer_Res_Treat,23,51
Breed_Sci,42,7
Brief_Bioinform,40,62
Brief_Funct_Genomics,20,1
Br_J_Anaesth,1,0
Br_J_Cancer,139,275
Br_J_Haematol,5,2
Br_J_Health_Psychol,0,1
Br_J_Nutr,2,0
Br_J_Ophthalmol,0,1
Br_J_Pharmacol,2,7
Br_J_Surg,0,2
Bull_World_Health_Organ,1,1
Cancer,2,3
Cancer_Biol_Med,1,4
Cancer_Biol_Ther,4,5
Cancer_Biomark,0,1
Cancer_Cell,56,25
Cancer_Cell_Int,27,186
Cancer_Commun__Lond_,2,17
Cancer_Control,1,3
Cancer_Gene_Ther,4,2
Cancer_Immunol_Immunother,0,8
Cancer_Inform,53,193
Cancer_Manag_Res,25,248
Cancer_Med,83,177
Cancer_Metab,8,10
Cancer_Metastasis_Rev,0,4
Cancer_Res_Treat,3,10
Cancers__Basel_,84,208
Cancer_Sci,71,106
Can_Geriatr_J,3,1
Can_J_Gastroenterol_Hepatol,1,0
Can_J_Infect_Dis_Med_Microbiol,8,0
Can_J_Kidney_Health_Dis,2,0
Carcinogenesis,13,11
Cardiovasc_Diabetol,15,2
Cardiovasc_Drugs_Ther,1,0
Cardiovasc_Hematol_Agents_Med_Chem,4,0
Cardiovasc_Res,1,1
Cartilage,1,0
Case_Rep_Hematol,2,0
Case_Rep_Infect_Dis,2,0
Case_Rep_Neurol,0,1
Case_Rep_Psychiatry,0,1
Catheter_Cardiovasc_Interv,1,0
CBE_Life_Sci_Educ,1,0
Cell,131,27
Cell_Adh_Migr,0,3
Cell_Biol_Toxicol,1,0
Cell_Biosci,16,14
Cell_Chem_Biol,2,2
Cell_Commun_Signal,24,50
Cell_Cycle,22,40
Cell_Death_Differ,31,18
Cell_Death_Dis,277,536
Cell_Death_Discov,26,27
Cell_Discov,82,24
Cell_Div,0,2
Cell_Host_Microbe,271,0
Cell_J,4,14
Cell_Metab,40,20
Cell_Microbiol,13,1
Cell_Mol_Biol_Lett,10,12
Cell_Mol_Gastroenterol_Hepatol,100,27
Cell_Mol_Immunol,3,7
Cell_Mol_Life_Sci,24,16
Cell_Oncol__Dordr_,7,2
Cell_Regen__Lond_,4,2
Cell_Rep,649,227
Cell_Res,87,28
Cells,54,43
Cell_Signal,1,0
Cell_Stem_Cell,67,23
Cell_Stress,0,3
Cell_Stress_Chaperones,2,0
Cell_Syst,18,8
Cell_Tissue_Res,2,0
Cell_Transplant,2,0
Cereb_Cortex,3,3
Cerebellum,0,4
Cerebrospinal_Fluid_Res,1,0
Chem_Res_Toxicol,4,0
Chem_Sci,1,0
Chest,0,2
Chin_J_Cancer,12,3
Chin_J_Cancer_Res,1,4
Chin_Med,4,1
Chin_Med_J__Engl_,15,13
Chromosoma,23,0
Chromosome_Res,3,4
Cilia,0,1
Circ_Cardiovasc_Genet,9,2
Circ_Res,3,1
Circulation,7,0
Clin_Auton_Res,1,0
Clin_Dev_Immunol,1,0
Clin_Diabetes_Endocrinol,0,1
Clin_Drug_Investig,0,2
Clin_Epidemiol,5,15
Clin_Epigenetics,156,188
Clin_Exp_Dent_Res,1,0
Clin_Exp_Gastroenterol,2,1
Clin_Exp_Metastasis,6,3
Clin_Exp_Nephrol,0,1
Clinics__Sao_Paulo_,2,4
Clin_Infect_Dis,15,1
Clin_Interv_Aging,4,20
Clin_J_Pain,0,2
Clin_Kidney_J,0,1
Clin_Med_Insights_Oncol,0,1
Clin_Microbiol_Infect,39,0
Clin_Mol_Allergy,2,0
Clin_Pharmacol,1,0
Clin_Pharmacol_Ther,1,0
Clin_Pract_Epidemiol_Ment_Health,0,2
Clin_Proteomics,1,6
Clin_Psychopharmacol_Neurosci,1,4
Clin_Sarcoma_Res,1,0
Clin_Sci__Lond_,2,0
Clin_Transl_Allergy,0,2
Clin_Transl_Gastroenterol,44,3
