PMC_ID,repo_ID
1101_000802,ERS037274
1101_000802,ERP001144
1101_001651,TCGA
1101_001651,TCGA
1101_001651,TCGA
1101_001651,TCGA
1101_001651,TCGA
1101_001891,ERP002541
1101_002105,TCGA
1101_002105,TCGA
1101_002105,TCGA
1101_002105,TCGA
1101_002105,TCGA
1101_002105,TCGA
1101_002261,GTEx
1101_002303,GSE54399
1101_003111,GSE30708
1101_003129,TCGA
1101_003129,TCGA
1101_003129,TCGA
1101_003129,TCGA
1101_003236,GSE53638
1101_003483,DRA000457
1101_003483,GSE36024
1101_003483,DRA001262
1101_003913,SRP034850
1101_004960,PRJNA243934
1101_005686,TCGA
1101_005686,TCGA
1101_005686,TCGA
1101_005686,TCGA
1101_005686,TCGA
1101_005686,TCGA
1101_005686,TCGA
1101_005686,TCGA
1101_005686,TCGA
1101_005686,TCGA
1101_005702,SRR1042008
1101_005702,SRR1042006
1101_005876,GSE21161
1101_005876,GSE58843
1101_005942,TCGA
1101_005942,TCGA
1101_005942,TCGA
1101_006213,TCGA
1101_007427,SRR1042171
1101_007427,SRR976171
1101_007427,SRR1186264
1101_007427,SRR1042171
1101_007427,SRR976171
1101_007427,SRR1186264
1101_007427,SRR1042171
1101_007427,SRR976171
1101_007427,SRR1186264
1101_007427,SRR1042171
1101_007427,SRR976171
1101_007427,SRR1186264
1101_007468,GSE25503
1101_007468,GSE25503
1101_007468,GSE406
1101_007468,GDS112
1101_007468,GSE25503
1101_007468,GSE406
1101_007468,GDS112
1101_007468,GSE25503
1101_007468,GSE406
1101_007468,GDS112
1101_007468,GSE25503
1101_007468,GSE25503
1101_007468,GSE406
1101_007468,GDS112
1101_007468,GSE25503
1101_007468,GSE25503
1101_007468,GSE406
1101_007468,GDS112
1101_007468,GSE25503
1101_007468,GSE25503
1101_007468,GSE406
1101_007468,GDS112
1101_007468,GSE25503
1101_007468,GSE406
1101_007468,GDS112
1101_007468,GSE25503
1101_007468,GSE406
1101_007468,GDS112
1101_007468,GSE25503
1101_007468,GSE406
1101_007468,GDS112
1101_007559,GTEx
1101_008326,TCGA
1101_008326,TCGA
1101_008326,TCGA
1101_008474,ERP001222
1101_008474,SRP042007
1101_008474,SRP043460
1101_008474,SRP043211
1101_008698,PRJNA162355
1101_008771,TCGA
1101_008771,TCGA
1101_008862,GSE60996
1101_008862,GSE60996
1101_008862,GSE60996
