PMC_ID,repo_ID
PMC3518396,GSE37771
PMC3443552,ERP000108
PMC3443552,SRA023632
PMC3505039,TCGA
PMC3505039,GSE15907
PMC3505039,TCGA
PMC3505039,TCGA
PMC3505039,TCGA
PMC3505039,TCGA
PMC3505039,TCGA
PMC3505039,TCGA
PMC3505039,TCGA
PMC3505039,TCGA
PMC3505039,TCGA
PMC3505039,TCGA
PMC3505039,TCGA
PMC3589714,GSE31409
PMC3589714,GSE31409
PMC3589714,GSE6764
PMC3589714,GSE15765
PMC4927356,GSE80611
PMC4149593,TCGA
PMC4149593,TCGA
PMC4149593,TCGA
PMC4149593,TCGA
PMC4149593,TCGA
PMC4149593,TCGA
PMC4149593,TCGA
PMC3651036,SRP018506
PMC3733245,GSE41503
PMC3731418,TCGA
PMC3731418,TCGA
PMC4002004,GSE43894
PMC4002004,GSE43895
PMC3773500,TCGA
PMC4131762,GSE45759
PMC4131762,GSE14833
PMC4131762,GSE10246
PMC4131762,GSE6506
PMC3852148,TCGA
PMC3882083,TCGA
PMC3851240,SRR023546
PMC3851240,SRR023608
PMC3851240,SRR023505
PMC3851240,SRR027108
PMC3851240,SRR026433
PMC3851240,SRR065719
PMC4018468,ERR033015
PMC4018468,ERR033016
PMC3880119,SRX026669
PMC3821180,GSE40705
PMC3818907,GSE41437
PMC4076789,TCGA
PMC4076789,TCGA
PMC4076789,TCGA
PMC4076789,TCGA
PMC4076789,TCGA
PMC4076789,TCGA
PMC4076789,TCGA
PMC4076789,TCGA
PMC3866081,TCGA
PMC3866081,TCGA
PMC3866081,TCGA
PMC3866081,TCGA
PMC3866081,TCGA
PMC3866081,TCGA
PMC3866081,TCGA
PMC3866081,TCGA
PMC3866081,TCGA
PMC3866081,TCGA
PMC3866081,TCGA
PMC3866081,TCGA
PMC3866081,TCGA
PMC3866081,TCGA
PMC3866081,TCGA
PMC3898876,TCGA
PMC3898876,TCGA
PMC3911785,GSE47114
PMC3816492,GSE4334
PMC4010127,SRP035232
PMC4724891,GSE67959
PMC3964595,GSE52525
PMC4040162,GSE54414
PMC4040162,GSE54414
PMC4040162,GSE54414
PMC3922286,GSE6532
PMC3922286,GSE6532
PMC3877743,TCGA
PMC3877743,TCGA
PMC3877737,SRP029341
PMC4018771,TCGA
PMC4018771,GSE33216
PMC4018771,GSE32465
PMC4018771,GSE31477
PMC4018771,GSE30263
PMC4018771,GSE15780
PMC4018771,SRA068503
PMC4018771,GSE39982
PMC4326224,GSE57774
PMC4326224,GSE56646
PMC4326224,GSE57774
PMC4281301,GSE56869
PMC4180789,SRX265476
PMC4180789,SRX386284
PMC4008384,SRP034877
PMC4770512,GSE74535
PMC4770512,GSE56879
PMC4626315,GSE66144
PMC4507281,GSE60456
PMC4507281,GSE66031
PMC4259394,SRX554885
PMC2783737,TCGA
PMC2783737,TCGA
PMC2783737,TCGA
PMC3247016,GSE24622
PMC2861772,ERA000198
PMC3197272,SRX018832
PMC3197272,GSE11880
PMC4117646,DRA000570
PMC4117646,GSE56879
PMC3477507,GSE27679
PMC2875995,GSE20634
PMC3005310,GSE21739
PMC2938879,SRA020603
PMC3269549,SRA039053
PMC3018472,TCGA
PMC3018472,TCGA
PMC3079545,TCGA
PMC3228994,GSE31456
PMC3400969,GSE31562
PMC4666778,GSE71557
PMC4666778,GSE70671
PMC4666778,GSE70973
PMC4927377,SRX1478507
PMC4927377,SRX1478507
PMC4927377,SRX1478507
PMC4927377,SRX1478507
PMC3581816,SRP001851
PMC3581816,SRP001851
PMC4216143,TCGA
PMC4216143,TCGA
PMC4344394,GSE46130
PMC4344394,GSE46644
PMC4344394,GSE46644
PMC4344394,GSE46644
PMC4344394,GSE46130
PMC4344394,GSE46130
PMC4344394,GSE46644
PMC4344394,GSE46644
PMC4344394,GSE46130
PMC4344410,SRA169378
PMC4768301,TCGA
PMC4382388,GTEx
PMC4382388,GTEx
PMC4382388,GTEx
PMC4382388,GTEx
PMC4382388,SRR595926
PMC4382388,GTEx
PMC4382388,GTEx
PMC4382388,GTEx
PMC4624326,GSE66550
PMC4553111,SRP056032
PMC4553111,SRP056032
PMC4414811,SRP040451
PMC4414811,GSE64059
PMC4414811,GSE64059
PMC4414811,GSE64059
PMC4547688,SRP056319
PMC4490017,GSE67939
PMC4487409,GSE63753
PMC4521975,TCGA
PMC4521975,TCGA
PMC4739640,GSE7670
PMC4739640,GSE10072
PMC4739640,GSE18377
PMC4739640,GSE11103
PMC4739640,GSE19380
PMC4739640,GSE11103
PMC4739640,GSE19380
PMC4739640,GSE11103
PMC4739640,GSE10650
PMC4739640,GSE11003
PMC4739640,GSE10650
PMC4739640,GSE11103
PMC4739640,GSE11103
PMC4739640,GSE22886
PMC4739640,GSE29832
PMC4739640,GSE65136
PMC4597790,TCGA
PMC4589463,SRP055191
PMC4589463,SRP053327
PMC4589495,SRP059430
PMC4589495,GSE44269
PMC4589469,GSE65516
PMC4589503,GSE64016
PMC4821475,GSE66756
PMC4821475,GSE62305
PMC4821475,GSE66755
PMC4589892,GSE70482
PMC4589466,TCGA
PMC4589466,TCGA
